Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,4.30188679245283,4.30188679245283,4.30188679245283,5.178721174004193,5.5574190542743995,5.17870258857814,5.587406515306957,5.772524297346992,5.877702530558073,5.889940933750509,5.889940933750509,6.213280830000453,6.213280830000453,6.49002967007733,6.623803196573798,6.553112113866117,6.728020649485883,6.8042990579045295,6.8042990579045295,6.949128733113995,6.987685545784936,6.987685545784936,6.988409925444646,7.089053818475499,7.07684797840536,6.940652638308621,7.010340907381632,7.010340907381632,6.889848483220602,7.0188047121768316,6.932384959090411,7.048939382278126,7.07989739195954,7.098986601180159,7.000820731961658,7.054779204375558,7.096831910823447,7.007191485077312,7.002114929691372,6.897975229634643,6.861925612957926,6.922282024562164,6.677782182840099,6.677782182840099,6.553358146385151,6.544460679103351,6.487706398173033,6.565061156611856,6.5408978875347366,6.293839064005324,6.26070354676194,6.3799386949051495,6.422397934035584,6.550492173209962,6.553469364086313,6.415333926614434,6.543022855055396,6.5954005877576725,6.352210545783436,6.352210545783436,6.57825825693753,6.7013152290864815,6.621680688803359,6.621680688803359,6.759914441423903,6.759914441423903,6.7539747251118465,6.867730934421986,7.0305179349883895,7.027827080868964,7.204347945625123,7.155440063383908,7.155440063383908,7.098153867303427,7.098153867303427,7.345430555756586,7.431492761130389,7.33467152238327,7.398649623875487,7.415059880285744
1,5,5,7.735849056603773,7.020985752791683,6.460531382364266,6.460531382364266,6.460531382364266,6.460531382364266,6.460531382364266,7.071813631112822,6.571176395086336,6.571176395086336,6.571176395086336,6.255742234000518,6.64777905771473,6.939355695108231,6.939355695108231,6.939355695108231,6.939355695108231,6.939355695108231,6.939355695108231,6.825236251402249,6.610797732645003,6.610797732645003,6.610797732645003,6.587467635737882,6.565107744107243,6.398270718798558,6.426773328192375,6.547840832117021,6.826391729979796,6.826391729979796,6.9644536963569,7.02978641289607,6.964222839013143,6.83479366979012,6.996662685419386,7.090762724078501,6.9319037793137905,6.994961815028077,6.8676033244620385,6.726750735635326,6.726750735635326,6.726750735635326,6.844372292918987,6.884069850349092,6.969399303107476,7.031582750245893,7.178503480646899,7.252402252885061,7.336864753987406,7.434759887493005,7.4001211784787175,7.576820870442504,7.543723238674948,7.521304787919945,7.4933636114493565,7.4933636114493565,7.296079660832072,7.249767890574047,7.361389964152641,7.443419748855391,7.531934084727368,7.542608091172051,7.817044365681855,7.878667452416549,7.871222021413958,7.871222021413958,7.871222021413958,7.674644947489954,7.637662850303253,7.704713446765615,7.6764781526479675,7.6764781526479675,7.591887486047867,7.542305420009762,7.465404054214917,7.372610296564979,7.484407504741774,7.574965369028746
2,4.0,4.0,4.0,6.229166666666666,5.92550505050505,5.92550505050505,6.294128787878789,6.294128787878789,6.294128787878789,6.294128787878789,6.528636363636364,6.398863636363636,6.398863636363636,6.7279013539651835,6.948188194523458,7.0437795771650595,6.957583437630372,6.957583437630372,6.957583437630372,7.012897464741162,6.902848317038373,6.771558325833309,6.771558325833309,6.917745718143917,6.917745718143917,6.991411155116141,7.278818562523547,7.344725735699159,7.344725735699159,7.242216266002189,7.467329902365826,7.358663437520777,7.356079902365826,7.265722261050189,7.265722261050189,7.172528540665048,7.155226297959071,7.337824337174757,7.337824337174757,7.252555379524774,7.284418124622814,7.249478623711143,7.3257400838463544,7.3257400838463544,7.3257400838463544,7.107411242876005,7.21626536215049,7.464119468828126,7.464119468828126,7.432650937359594,7.541564928156097,7.50455244011216,7.4373392175289155,7.4212281064178045,7.4212281064178045,7.515083325273023,7.178212576973704,7.319868265789495,7.319868265789495,7.176677171169828,7.176677171169828,7.193006430146147,7.273589227633967,7.129900369540086,7.268380894300634,7.268380894300634,7.235701155738543,7.353021802621531,7.353021802621531,7.353021802621531,7.404948816719993,7.627680728601211,7.627680728601211,7.561805637802828,7.561805637802828,7.484779704049366,7.337512993603239,7.337512993603239,7.37204738548911,7.3698096232513475
3,5.857142857142857,6.75,5.778787878787879,5.954461279461279,5.954461279461279,5.954461279461279,5.954461279461279,5.954461279461279,5.69273569023569,5.69273569023569,5.413881049052618,5.613835088049942,5.613835088049942,5.613835088049942,5.613835088049942,6.034701855889853,5.810987938095946,5.810987938095946,5.810987938095946,5.810987938095946,5.810987938095946,5.924119913517121,5.924119913517121,5.883880056059335,6.079726930820348,5.965331981725906,6.123329539723464,5.931738522045489,6.05330029360726,5.955365820672788,5.955365820672788,5.955365820672788,5.9297319212011725,5.9297319212011725,6.028493351037161,5.993600968820221,6.145446593872756,5.966662161572277,6.064730767282073,6.129506291887511,6.129506291887511,5.8878253802066,6.02115029338245,6.02115029338245,6.210383548677422,6.179993197574738,6.331496865691257,6.192826157930648,6.149504897948994,6.318311482311135,6.292237222820104,6.392216318715839,6.297285394191135,6.373626159600979,6.4419804090962876,6.7006843623757115,6.755487223065815,6.828269271624203,6.910387807861138,6.910387807861138,6.910387807861138,7.12623965971299,7.179574170776847,7.273989064393867,7.2696134925861635,7.253004852998799,7.314014966353041,7.527588198676274,7.480283260831738,7.480283260831738,7.456948780840911,7.647339744528617,7.545472330896497,7.7901649891721725,7.938735083604128,7.721452474908476,7.718568914412178,7.798658357261417,7.798658357261417,7.736972571540157
4,4.9411764705882355,5.647058823529411,5.647058823529411,5.357298474945534,5.916122004357298,5.909368191721133,5.8198983297022515,6.0570557111733585,6.074477318705259,6.111469550783276,6.111469550783276,6.111469550783276,6.111469550783276,6.111469550783276,6.1607392623716155,6.1607392623716155,6.060363308845551,6.188345853621241,6.188345853621241,6.188345853621241,6.253577990755272,6.253577990755272,6.122478264142883,6.232680393472132,6.232680393472132,6.272304535546791,6.361046406544029,6.302365479627808,6.302365479627808,6.351846961109288,6.367155603084597,6.401784364649464,6.504025261008007,6.428950281085546,6.282786259921525,6.272401164297701,6.272401164297701,6.272401164297701,6.172851910856741,6.172851910856741,6.136909014539247,6.13128753551577,6.220844515676676,6.0958163947242054,6.0958163947242054,6.062674462459453,5.84263027054026,5.84263027054026,5.972125584391027,5.659200414323001,5.659200414323001,5.538453789088634,5.5576852628078495,5.766046954592001,5.766046954592001,5.9285644371094826,5.739198658598209,5.739198658598209,5.6442610471900085,5.6442610471900085,5.8546314175603795,5.8546314175603795,5.682317986279381,5.72871902365465,5.796942492208235,5.796942492208235,5.796942492208235,6.0436650368031195,6.279019994428017,6.279019994428017,6.279019994428017,6.4412142641694565,6.627157985154559,6.436530039850798,6.595258498323814,6.695771318836634,6.695771318836634,6.74607336749116,6.8226943957597115,6.678400780877862
5,5,5,5.56,4.759591836734694,4.759591836734694,4.759591836734694,4.751677576691054,4.872581711930056,5.661701733180408,5.623313535820275,5.409930120650182,5.8070584207863005,6.054992100527993,5.860131188347535,6.062240474255335,6.04205376806739,6.060357324369899,6.060357324369899,6.060357324369899,6.167847329150931,6.167847329150931,6.110978494861856,5.985169789913383,5.985169789913383,5.985169789913383,5.972201324762768,5.972201324762768,5.972201324762768,6.085693189593807,6.378535326448549,6.257505586090296,6.38540002892765,6.493124220456512,6.563003670612593,6.4303461325202855,6.553366998620737,6.704850584182681,6.448750907956963,6.342770199256659,6.5025121435804625,6.380910513599472,6.607897693086652,6.635222500843873,6.642572249299669,6.642572249299669,6.600602284056047,6.600602284056047,6.70775123982615,6.922985560504776,6.922985560504776,7.054098285111498,7.1615476520080446,7.2197645516181,7.2197645516181,7.197298122408971,7.2006948615394055,7.473485303497533,7.352083833847287,7.203234728987951,7.172974332749989,7.2485598050208235,7.196665865626884,7.196665865626884,7.442784425944995,7.468893853864214,7.517289650927449,7.604990250090895,7.515310012918398,7.40967098602163,7.4855055288373045,7.4855055288373045,7.5213438123526934,7.621467605975853,7.621467605975853,7.6766089720365285,7.74137825044397,7.678087341161957,7.6287998857647645,7.636806165199616,7.636806165199616
6,4.056603773584905,4.46447209955841,5.430215442258799,5.430215442258799,4.930616127148644,4.930616127148644,5.131992901718915,5.298882973654651,5.121570021374317,5.268873768702527,5.268873768702527,5.268873768702527,5.12122112773558,5.152495241377116,5.338968737952261,5.559054676456238,5.559054676456238,5.559054676456238,5.559054676456238,5.43173094394777,5.432962990225553,5.6581868411916485,5.838988939127375,5.838988939127375,5.838988939127375,5.838988939127375,5.918383895586011,5.8573522023236,5.802193736011542,5.765810190916025,6.020121006151211,6.020121006151211,6.025284819035662,5.965931077539063,5.951455743090902,5.898266967580698,5.898266967580698,6.022967841145469,6.197311732548185,6.197666893480482,6.028421417512317,5.906447756106837,6.020370667800668,6.020370667800668,6.050350075145075,6.293939818734819,6.4434151127283865,6.3205639596885534,6.150471809353242,6.053400790386208,6.053400790386208,6.053400790386208,6.117246944232361,6.215103191994624,6.200432998957288,6.278904130999849,6.26189732827876,6.26189732827876,6.40074483731672,6.468359913312774,6.628227510378439,6.697595034998539,6.708948687738271,6.6319349741827684,6.6149405254538065,6.526216035657889,6.66085594931566,6.66085594931566,6.727951537550954,6.727951537550954,6.739148306721018,6.542584204156915,6.534493999787641,6.605605110898752,6.685336782953829,6.812407063953768,6.812407063953768,6.936477885540524,6.952858837921475,7.1371853685337205
7,7.58,6.756666666666667,6.783356009070294,6.783356009070294,6.783356009070294,6.783356009070294,6.734256137237503,6.200170867236812,6.200170867236812,6.200170867236812,6.6526246588675555,6.503491943625607,6.376531060428504,6.241764983007155,6.404861211979167,6.627525344223486,6.583852255193367,6.655863620178493,6.655863620178493,6.4991261088470615,6.4991261088470615,6.645442871658618,6.645442871658618,6.6596239687756995,6.6596239687756995,6.729913467938626,6.67678305968479,6.726346374774887,6.7181831094687645,6.621613972819275,6.590277203176311,6.669728923181255,6.765096418005272,7.027632190059521,7.116258835926834,7.056524325503041,6.958715415423134,7.03695449137388,7.12301835878083,7.1734512592137305,7.185572471334942,6.962361191873663,7.120916665909694,7.190793209119571,7.065918925386005,7.3036157315038635,7.3036157315038635,7.2263789637529445,7.082369338209704,7.057509315813287,7.057509315813287,7.022853156698924,6.956816881842701,6.956816881842701,7.022064134589954,7.089451955102774,7.142113169114031,7.06715241558185,7.025955673727213,6.892871246411785,6.7501586958044975,6.739728992008086,6.78803666005474,6.664670104130044,6.739246253017624,6.80231314644166,6.627349221477735,6.716898500733441,6.676433567715316,6.565836504027818,6.717949741667372,6.480171963889594,6.480171963889594,6.480171963889594,6.423271691819043,6.424564563586768,6.427997792785746,6.395121484367641,6.433621141300596,6.309746344390038
8,7.583333333333333,7.583333333333333,7.720238095238095,7.420899470899471,7.815674603174603,7.815674603174603,7.1414285714285715,6.926033243486073,6.926033243486073,7.024745819644598,7.024745819644598,6.69129544933188,6.69129544933188,6.69129544933188,6.5884801157181725,6.684349085278431,6.684349085278431,6.684349085278431,6.803953713889483,6.803953713889483,6.80816969227748,6.80816969227748,6.80816969227748,6.80816969227748,6.960499834291639,6.851076376740195,6.61984927051309,6.559081541367773,6.466362875955266,6.4411604140181105,6.244326599711811,6.191920292437563,6.491710648831692,6.447946865445267,6.556545279543789,6.480796994040077,6.480796994040077,6.548143932815588,6.6969343372945485,6.6969343372945485,6.76343268661498,6.627857900593321,6.566247620800681,6.621418368990433,6.529512926923129,6.529512926923129,6.359618059885405,6.377396168430703,6.521678080831561,6.650103372637215,6.52431759817696,6.726166337672759,6.928157287899003,7.004396285059357,7.11233095736679,7.152514907508337,7.152514907508337,7.154913739381511,7.1287082886477595,7.232239132803603,7.175926869862305,7.102431440495911,6.9571503593622985,7.060722256822442,6.995390624169381,6.995390624169381,6.982720587453535,7.043360422334856,7.108583733881696,7.087308992759507,7.023349640244241,6.999376701047,7.188388416844429,7.220407276858209,7.066441234399475,6.942991854647575,6.880603418278265,6.617547862722709,6.54916832523581,6.675449097290611
9,5,6.456521739130435,5.421442687747035,5.421442687747035,6.550465337930648,6.550465337930648,6.550465337930648,6.550465337930648,6.550465337930648,6.550465337930648,6.550465337930648,6.550465337930648,7.130934109830965,7.01243959555708,6.817032996297566,6.817032996297566,6.817032996297566,6.670094216606705,6.952999106197534,6.663349632859346,6.58547620803495,6.516440821533749,6.640070753072603,6.786912972670336,6.934573950812932,6.9056023540920695,6.900863909088975,6.930486720419545,6.920729144661969,6.920729144661969,6.785887609402261,6.853495102108777,6.853495102108777,6.971142224264714,7.044868552009047,6.992607336156692,6.842488575158602,6.842488575158602,6.729719027915641,6.740969468471764,6.797280060251249,6.848420448863921,6.959850794297406,7.065918176527579,6.956070226127241,7.222601940027376,7.397786040817014,7.4960172335854685,7.462418382491166,7.264335593820142,7.147816681290591,7.002918722106918,6.821673647244822,6.821673647244822,7.131006980578155,6.9683379122165485,6.890916500500485,6.8340987817817656,6.954301854642143,6.857445187446962,6.838583796736832,6.826328894776047,6.994202520874989,6.994202520874989,6.969837666705873,7.005856786232314,7.104853400263781,7.115698695319602,7.019117141355876,7.081468562544507,7.114022848726375,7.016068952408054,6.783652296018035,6.852933754122349,6.852933754122349,6.923775752808159,6.843791513249451,6.985225391765397,7.24322488786013,7.094011118252025
