Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,5,7.809078146934956,7.809205029951105,7.80823229844861,7.80823368553083,8.168748294255813,8.09819517274492,8.133908544717736,8.133835162840432,8.162071320397214,8.277432108319513,8.334430099903297,8.334762309181812,8.353692234828035,8.353731724218889,8.404626197666998,8.394518378350476,8.396158620647125,8.36849458777872,8.36847653493263,8.387948618736953,8.387907557336604,8.38793847071291,8.387927386170261,8.354704120879944,8.38409564670941,8.384034263122814,8.418346152893001,8.440769226784994,8.440725741388718,8.403320457976568,8.381058037352373,8.381003164287128,8.384296887914719,8.39531480078252,8.395296802598583,8.395279492173113,8.384843605822363,8.406261446450635,8.406223932134118,8.406209791660423,8.421860816258526,8.421768319415248,8.444067429936275,8.464285063216952,8.481932919112655,8.481919453024055,8.481933775620169,8.481958681826066,8.481943655346127,8.481924776964483,8.481953172070781,8.498290441616415,8.509455541414717,8.490093553212715,8.475639633064596,8.475652015272377,8.454656717217674,8.45467885993552,8.454676315653561,8.454607929154506,8.45462476169684,8.439174261511681,8.449965213576409,8.449992060220204,8.449963624164997,8.449977169306571,8.450008906722367,8.451925357299174,8.451929256239985,8.440278899063777,8.440300008041866,8.440303649648532,8.448988704200822,8.448962132500357,8.448971978450002,8.44897149886806,8.44895477773278,8.44895882675283,8.443503225442164
1,5,8.166666666666668,8.166666666666668,8.126709268060221,8.12675040974157,8.037567289874861,8.037291128664815,8.037138352801612,8.132503828797311,8.123158940119215,8.123356860046915,8.109424142998336,8.109276026620737,8.156197185581686,8.156319671585372,8.156494559067037,8.191618730022366,8.218247997611527,8.218395783708019,8.240162147385744,8.240179176151791,8.293427438393802,8.293192727186915,8.293085816673656,8.297077097296395,8.275629463573129,8.325964346177717,8.326159001859732,8.326224641577944,8.326162020183705,8.326125329638094,8.318593129209155,8.326357403409908,8.326297728703306,8.301746960803289,8.301730794392657,8.301752615395436,8.30179246037737,8.301843357369924,8.330387917556083,8.315712312543214,8.315750483094574,8.313017216607513,8.306687322226157,8.32336563979257,8.332429914396224,8.33252019157742,8.3538510291667,8.33269571995272,8.327126103675948,8.323715710597305,8.323783004568742,8.32382174949582,8.343182405169408,8.359325808828265,8.359326859061865,8.342546202807142,8.342536584475264,8.342577409109316,8.342605266466904,8.342618345584464,8.342592644181028,8.34255767565774,8.348862645828802,8.348892359204207,8.35582171283086,8.37422313322575,8.38340614524349,8.372936173463826,8.372985356919184,8.372974211091428,8.372999132846635,8.372984733301355,8.370266355082688,8.378064267162225,8.378065854602898,8.364967734204095,8.364965837223968,8.364976288396361,8.356109396604325
2,6.69811320754717,7.11733126733085,7.111441601322777,7.371025476957779,7.65924151668795,7.664233772514811,7.664534672111724,7.663278248073922,7.89280760955656,7.892494633414525,8.05112347410066,8.051125639365983,8.167423854909803,8.16839056347986,8.167761373333954,8.167668155109546,8.16721733799097,8.167320664375662,8.240584832909034,8.288615481275453,8.288553099320069,8.288595857185273,8.288274016284861,8.288417159320382,8.339529651784643,8.367272377849556,8.36740982042626,8.367621377615365,8.367691091956083,8.367586409895662,8.36765203847118,8.367770618132162,8.367905296803846,8.367908026060375,8.368015538090262,8.38720120464788,8.38724210856575,8.35846645310821,8.350310726213777,8.316802291160682,8.31053165322383,8.282027164522155,8.306346500732875,8.306055490966319,8.323205036391474,8.323232043506604,8.33175218997953,8.331777807701174,8.343142765884826,8.343212692197548,8.355949250486635,8.379100749517953,8.371264693493394,8.371226269865474,8.371263734802719,8.371275196237807,8.371337228073056,8.355699453633925,8.355739084723385,8.3549322384589,8.35494083661371,8.335806479169936,8.33578196242144,8.340431520299653,8.34044830834146,8.344954692321128,8.34500374380408,8.355600541646286,8.355610976659289,8.368376886358629,8.368352560357117,8.365881680326085,8.365853688659888,8.34524530131174,8.346396981968525,8.332136943359004,8.332130797704677,8.332141955558548,8.336739872909368,8.336711665961971
3,7.811320754716981,8.205660377358491,8.231135516880531,8.386656081941801,8.39946254019322,8.47836729325824,8.54876261202013,8.4768346913617,8.47762569177092,8.477701382956056,8.529393329308972,8.529576749142173,8.529468400889177,8.535284929101813,8.53501014317392,8.534878698606068,8.448707752676876,8.448591883863678,8.422959388172547,8.422759508265582,8.383978543186316,8.423236096342986,8.389923780971781,8.389853821121115,8.389880728620966,8.389960842401656,8.390010741677361,8.390166872572616,8.390200985604501,8.402292193855754,8.402280897306502,8.395159442099455,8.386241765486261,8.38626455988216,8.3980957458099,8.400614437904467,8.400586195395057,8.400533524430994,8.428091588863527,8.451175048022751,8.451130752137182,8.441221791729138,8.441217180715789,8.441234380730583,8.457882549004648,8.453916241583812,8.457930467798056,8.457957097674452,8.465612460697127,8.465616301653718,8.482328584842456,8.485026236934445,8.485031480729937,8.485039276745463,8.4850482222999,8.468862368235424,8.468847675420646,8.468836028779448,8.468802961762695,8.468802429944988,8.468833650314448,8.47122745285261,8.471226015110776,8.478641331728259,8.478651997927198,8.478662474588477,8.465267746212533,8.459998321494801,8.451674824527483,8.451687862792546,8.465109122887686,8.465107393421146,8.463724579490767,8.45525899064765,8.444784581566239,8.428027906017345,8.44060924960704,8.440601579517704,8.451558197899876,8.441439438786624
4,6.959183673469388,7.013287940244726,7.266260882334434,7.264630259446834,7.67917321603473,7.680666617001891,7.675794957124804,7.7936609677670035,8.021302748074229,8.021008259620192,8.020236702945454,8.146034293819518,8.261631356708733,8.235694332014603,8.314089345941783,8.274164358636611,8.27426324491395,8.282645493880288,8.28277627471196,8.28284684212678,8.302532869570959,8.302385603590333,8.302258192178144,8.315230487691661,8.315341743556512,8.307577653964088,8.307464966579708,8.321330088685839,8.321388846572596,8.301451715345447,8.334574266703358,8.334666574782748,8.334738112975813,8.316507533220797,8.346473137475565,8.346443422103976,8.346390062343326,8.34637458160734,8.346415606872462,8.36304232353914,8.391618909339645,8.406122835954445,8.406075403857601,8.406103562641672,8.40609137639294,8.40613199763862,8.406244649611233,8.431142799452935,8.431167661690337,8.431192847309331,8.431186085759883,8.427375294119058,8.400686745615978,8.393980466042951,8.39397654512522,8.415703844025176,8.398814116170126,8.418637058352616,8.430035578737371,8.435565325861361,8.435512334050458,8.435525942611456,8.444458933326974,8.430078447817998,8.4133126196113,8.413273051618951,8.419418685896979,8.427356740484356,8.439459340638328,8.447610787335417,8.456882110385058,8.454250476155476,8.454237617019114,8.44196896603934,8.441963223390381,8.442313054098905,8.442281344183844,8.442307075856233,8.44230354971836,8.432030805955641
5,5,5,6.965075446190051,6.9809157377345965,7.357608065848466,7.357648580201373,7.358153584888763,7.613258810300161,7.679416066602053,7.814245903604585,7.960591149243147,7.960916463304781,7.960366447387926,7.9332967311764975,8.057158627764885,8.057172851279748,8.151848435599463,8.199526393021861,8.213016971683484,8.184497782132507,8.184584913703857,8.184865130681672,8.184857333680341,8.225267547483263,8.216371054532853,8.196308656233853,8.196335472885881,8.196351599791015,8.196325604847978,8.196283466365621,8.221133036160095,8.22119928997571,8.221275100561227,8.264851032047734,8.264860417684162,8.295729425760408,8.322882163657718,8.322949120415743,8.322930979739827,8.322937636782864,8.321674331631884,8.321656145617393,8.32528975622676,8.328683716910067,8.328627542393907,8.32859368983917,8.328690239768708,8.328704688295478,8.328714168074242,8.31079413776352,8.310796556944481,8.310819055890988,8.316049429945215,8.31606158506943,8.334817501559137,8.334823331368593,8.33481450719655,8.334854326004303,8.332872588888335,8.316862889798626,8.316830058680395,8.336063138690845,8.348542753907005,8.348546815623362,8.348559146026608,8.337055384100179,8.354491601858872,8.354503063595892,8.354505204006117,8.35451265449359,8.36178020550615,8.361789711404398,8.361782366701407,8.361752893159895,8.369309778112154,8.366567378136292,8.380360271691137,8.380366321074575,8.380370773212672,8.380874710892247
6,5,7.670459636233312,7.667132584226126,7.667263102722544,7.674828687321848,8.038253703949522,8.040915543797368,8.040737223562363,8.040672254820423,8.041966665260126,8.230135902909456,8.15343062970435,8.153255115549687,8.117796633135686,8.116830927261343,8.117058731652682,8.109859485359351,8.110145550974126,8.109640817673172,8.100931245980565,8.193937848970537,8.193681599509288,8.193512362134884,8.1936041680814,8.193732955351159,8.193654483365787,8.276805078717906,8.277002009004478,8.277014029640569,8.276974933871578,8.277043836791027,8.277118009959572,8.277119448889993,8.30530518314659,8.305364119489955,8.305362795637048,8.30536956344286,8.267130030018166,8.26715879069792,8.30541620159082,8.330518115157044,8.341172731398029,8.341162148094595,8.343494925277135,8.295606566052264,8.315236771114456,8.315196398113258,8.315121863842295,8.331711125478568,8.323000030089858,8.332020293018067,8.34035728638839,8.340328657077432,8.344076467035155,8.34411361136663,8.344146967164846,8.350932257435076,8.350902086265052,8.35375041081469,8.369932721433425,8.369947553201698,8.376123921584245,8.384108596194544,8.383637864103514,8.38892084402749,8.388930595854521,8.39493170851252,8.404716248438298,8.395963583152223,8.395978429126677,8.395977196338208,8.395977182809743,8.39593997857217,8.395966545929491,8.395968189406794,8.389143335100178,8.378264962978058,8.387892619361834,8.38789726807126,8.387910202671378
7,8.03921568627451,8.395548321318161,8.403650649024486,8.599554766540734,8.613807700285987,8.639747521283947,8.651966777688536,8.639263514599861,8.64003427680752,8.614573138228874,8.615063243368237,8.485200214391433,8.485251532978188,8.518718050426857,8.518218769961859,8.4717526658598,8.471863189164822,8.445961311416932,8.445902619581082,8.419802610869047,8.422449694553872,8.422413150688566,8.42235441079532,8.422324603460362,8.422377677952618,8.422403029507846,8.42232061348447,8.422400945193177,8.375169276739092,8.375203669749759,8.375239201755468,8.389029579799995,8.389046815604157,8.389055836251359,8.389040667326633,8.420803719168873,8.420845546928327,8.420892700497822,8.386491171186389,8.393588289552099,8.393596215986136,8.393604015195706,8.393596475101536,8.39359295304752,8.414199537735431,8.395394421153659,8.395427323357287,8.395457318197415,8.395451127669103,8.395474670547635,8.390907192982553,8.390913267138508,8.39091352544515,8.406271801529583,8.40481856961424,8.413273793627202,8.425459255985036,8.425450748871942,8.42445416518009,8.424474004843859,8.418097076781336,8.418341558182316,8.418333567860142,8.41832912329579,8.42226672775838,8.421075785741383,8.405802063492342,8.421352996093692,8.426196005983972,8.414989443920438,8.414997953368808,8.415008345353392,8.414985685066721,8.414996428880341,8.418180077723397,8.40728884874369,8.415089818551568,8.415104683712258,8.41509185249152,8.415930719201722
8,5,7.733912721893491,7.757184718048693,7.883034112453823,7.884684714329159,8.23504406927853,8.23553386510194,8.383697494980801,8.383926758965028,8.38413038728564,8.383853487367674,8.248130787098557,8.248161589428761,8.248178885410155,8.248742183714123,8.24888243942964,8.295968142097703,8.251982314543097,8.252140916062508,8.252331427720293,8.25235196941183,8.252409673859322,8.25239726368605,8.25239326739299,8.209350788824066,8.20940275989862,8.230011900071547,8.213069074839318,8.213093590547723,8.21297620409547,8.21294874575527,8.21295117882496,8.26142479438185,8.24936040004425,8.244762810496383,8.24475388959627,8.295160907991425,8.32359584560462,8.323513006767115,8.323504894497393,8.323531711471627,8.32354384833952,8.32351097241988,8.323558881137153,8.323558820058736,8.353810287191575,8.366105141074955,8.36612168415325,8.394108248212923,8.39407689831885,8.394043043919364,8.394052230540591,8.394031090149213,8.394036766051524,8.39407068900547,8.394084940250192,8.410948660146339,8.410934221950965,8.410942167390889,8.410935009045117,8.410954275262771,8.379554000401102,8.379569186404993,8.396534962046687,8.396558673268444,8.396515114736875,8.384390326062466,8.38440416607304,8.409319065855115,8.409315283794093,8.409337117436337,8.409526353734313,8.422801360220348,8.422788655945688,8.422792755394438,8.429151806339465,8.437962160231494,8.437960560823539,8.437927934230967,8.437929044012325
9,5,5,5,5,7.804166069865116,8.199879297045854,8.20295347721839,8.422562582131695,8.41756154845049,8.441187385982868,8.410014608502319,8.41032038555008,8.410225312313301,8.41025275379015,8.410241555949913,8.376316268207436,8.381248693548496,8.402561393022971,8.40272534333755,8.402714858069027,8.414415050725111,8.414393629043339,8.416249014529281,8.416124230715084,8.416163326169965,8.430312740306555,8.468295551032183,8.468356722224685,8.462698363815576,8.462716764190617,8.487243763017362,8.50032162671474,8.500401564823811,8.500300563463536,8.526102310583589,8.526078911171435,8.526125468392038,8.543199883376074,8.543285026794138,8.537141179188492,8.531522163177447,8.531505294490408,8.531534096690972,8.531527307053857,8.5315494069437,8.545461733191136,8.545556800035005,8.556638835409817,8.556640733230608,8.55670367744774,8.556733589665644,8.556762367934006,8.556820598244675,8.556822440876639,8.556811989595275,8.556837179794334,8.556864107520822,8.55971111890343,8.55971791921909,8.559742108554945,8.559715559836878,8.560723232967062,8.549544175170869,8.54953577463514,8.544166656094845,8.559481079353777,8.559523020953058,8.567480744779065,8.576187887357133,8.57621484299514,8.572338650691693,8.572325343781653,8.581541957849664,8.589880959539084,8.589867346464711,8.589835696143338,8.589795081656922,8.585737373989325,8.585762878881855,8.585763399913109
