Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,5,7.541666666666667,7.541666666666667,7.541666666666667,7.792572463768115,7.792572463768115,7.948381642512077,8.007204599230997,8.007204599230997,8.007204599230997,8.04807137169249,8.04807137169249,8.04807137169249,8.04807137169249,8.04807137169249,8.04807137169249,8.1805823522274,8.266586115573798,8.32220515881938,8.32220515881938,8.318503351049326,8.323387709821944,8.33654201860022,8.33654201860022,8.33654201860022,8.33654201860022,8.38720055408724,8.427501366165998,8.418528896615058,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.410485126202422,8.40651347928416,8.38952133690412,8.405659040409448,8.405659040409448,8.405659040409448,8.405659040409448,8.383212073370355,8.383212073370355,8.383212073370355,8.404268861006184,8.404268861006184,8.404268861006184,8.394541772386843,8.394541772386843,8.394541772386843,8.38846576297005,8.38846576297005,8.38846576297005,8.38846576297005,8.38846576297005,8.395365938985297,8.410528160663379,8.412568572698383,8.406102260073231,8.406102260073231,8.406102260073231,8.406102260073231,8.41076198724152,8.41076198724152,8.407996678173369,8.426843187703442,8.436144493211366,8.436144493211366,8.448284993430354,8.448284993430354,8.448284993430354,8.441716563576133,8.435192276629571,8.449246723736374,8.454898498016174
1,5,8.191489361702128,8.135744680851063,8.25021867612293,8.25021867612293,8.176036100115454,8.176036100115454,8.176036100115454,8.257495546759031,8.257495546759031,8.363130346936874,8.363130346936874,8.363130346936874,8.435593207427374,8.435593207427374,8.413644056498951,8.413644056498951,8.413644056498951,8.47104277890346,8.47104277890346,8.47104277890346,8.483122174482503,8.483122174482503,8.483122174482503,8.487686825287124,8.487686825287124,8.514039720565485,8.514039720565485,8.51743201397458,8.52491702884941,8.52491702884941,8.52491702884941,8.471621906664678,8.502094517089972,8.502094517089972,8.502094517089972,8.502094517089972,8.502094517089972,8.484564347417212,8.484564347417212,8.506886530136459,8.525137688370613,8.513166518237796,8.513166518237796,8.513166518237796,8.513166518237796,8.513166518237796,8.510555414194727,8.520984713549511,8.520984713549511,8.528171226430139,8.547044595140203,8.54398634074636,8.5182560968715,8.530507967497503,8.540579111515449,8.540579111515449,8.535571171022134,8.535571171022134,8.533052131988063,8.533052131988063,8.520199333685717,8.520199333685717,8.532642084099876,8.532642084099876,8.532642084099876,8.541753940137253,8.551702353662629,8.556107496499159,8.550094028304999,8.552265400042938,8.55856543337514,8.552951515634994,8.552951515634994,8.544241364107755,8.544241364107755,8.544241364107755,8.544241364107755,8.544241364107755,8.547735477178298
2,7.54,8.224545454545455,8.224545454545455,8.224545454545455,8.353400673400674,8.353400673400674,8.353400673400674,8.411789635485288,8.411789635485288,8.411789635485288,8.509823865250976,8.509823865250976,8.509823865250976,8.509823865250976,8.509823865250976,8.509823865250976,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.568186554375814,8.574929134519927,8.625458826038269,8.625458826038269,8.553599334729054,8.553599334729054,8.593111196127943,8.593111196127943,8.593111196127943,8.593111196127943,8.593111196127943,8.593111196127943,8.593111196127943,8.593111196127943,8.56141421870217,8.532257905605194,8.532257905605194,8.532257905605194,8.50302067540814,8.50302067540814,8.50302067540814,8.481971579545654,8.481971579545654,8.481971579545654,8.495230211831263,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.476506584461372,8.484491191137714,8.471463902741174,8.497367716472501,8.505499330648876,8.505499330648876,8.527988780512157,8.524397453754183,8.535975724217854,8.542554967001294,8.542554967001294,8.542554967001294,8.542554967001294,8.542554967001294,8.542554967001294,8.542554967001294,8.515852768321242,8.515852768321242,8.511808980528667
3,8.361702127659575,8.319739952718676,8.319739952718676,8.319739952718676,8.319739952718676,8.319739952718676,8.319739952718676,8.326493301812452,8.454869976359337,8.454869976359337,8.454869976359337,8.512044129235619,8.512044129235619,8.512044129235619,8.522857287183529,8.522857287183529,8.573877674728738,8.573877674728738,8.573877674728738,8.559835273079955,8.559835273079955,8.559835273079955,8.559835273079955,8.559835273079955,8.559835273079955,8.559835273079955,8.557302135741853,8.593728784912765,8.593728784912765,8.593728784912765,8.593728784912765,8.599194000270344,8.599194000270344,8.630858389136705,8.630858389136705,8.630858389136705,8.630858389136705,8.651561589972344,8.651561589972344,8.651561589972344,8.615603486984902,8.615603486984902,8.591229921185908,8.591229921185908,8.591229921185908,8.61555256091571,8.61555256091571,8.61048545525631,8.61048545525631,8.583514041075404,8.583514041075404,8.583514041075404,8.567250660172569,8.57288812716394,8.57288812716394,8.57288812716394,8.57288812716394,8.57288812716394,8.560004196413056,8.552336021477284,8.552278820898414,8.552278820898414,8.552278820898414,8.564131148939211,8.569391989938165,8.569391989938165,8.559558663025008,8.55017213657888,8.55017213657888,8.544660036462968,8.544660036462968,8.544660036462968,8.554875521099042,8.550482234498304,8.550482234498304,8.550482234498304,8.537687522219203,8.537687522219203,8.540259787149854,8.546439370766876
4,7.480769230769231,8.177884615384615,8.177884615384615,8.177884615384615,8.262529137529137,8.286896853146853,8.286896853146853,8.42082183034357,8.42082183034357,8.479157080841864,8.51154640542748,8.48145727141571,8.488964197685426,8.52673444458355,8.489339005565466,8.489339005565466,8.489339005565466,8.491013585290354,8.491013585290354,8.491013585290354,8.491013585290354,8.52555100180648,8.510333073106018,8.510333073106018,8.510333073106018,8.493997943062215,8.523072051212665,8.523072051212665,8.523072051212665,8.523072051212665,8.523072051212665,8.506731519898267,8.518884779686054,8.526311896544684,8.532604997369624,8.533909521304402,8.533909521304402,8.53236817942693,8.52371449046634,8.52371449046634,8.521500896500829,8.521500896500829,8.510436779008144,8.506958441353984,8.515589610192725,8.520985219352509,8.520985219352509,8.520985219352509,8.520985219352509,8.520985219352509,8.520985219352509,8.518694192979853,8.510737719880524,8.510737719880524,8.49031234247819,8.475641123442413,8.475641123442413,8.475641123442413,8.475641123442413,8.473912745494545,8.480382298598247,8.480382298598247,8.492987622279754,8.492987622279754,8.501515743883093,8.501515743883093,8.501515743883093,8.484781614080212,8.484781614080212,8.484781614080212,8.484781614080212,8.49570841370968,8.49570841370968,8.490539419692993,8.503275934200667,8.503275934200667,8.512999954935133,8.512999954935133,8.519558564066713,8.529214937197619
5,5,5,8.2,8.2,8.451063829787234,8.612303422756707,8.47485256706753,8.47485256706753,8.549882053654024,8.549882053654024,8.549882053654024,8.54454456852121,8.582823915875323,8.603108181292868,8.603108181292868,8.6282947427095,8.636619114592396,8.630128048838937,8.634284044769025,8.634284044769025,8.634284044769025,8.634284044769025,8.634284044769025,8.618675468172917,8.618675468172917,8.608770077589137,8.608770077589137,8.613057200621657,8.614281941909333,8.614281941909333,8.578147710032313,8.578147710032313,8.585710932490837,8.598743690429915,8.610666971024699,8.625319369877749,8.631860797121067,8.635733381270507,8.635733381270507,8.646382171543657,8.646382171543657,8.646382171543657,8.646382171543657,8.644840610172105,8.644840610172105,8.649098877302238,8.637940625807953,8.6214595530375,8.6214595530375,8.625364184917277,8.630662502936374,8.630662502936374,8.630662502936374,8.630662502936374,8.630662502936374,8.632495970583587,8.626935016957397,8.636922493386882,8.636922493386882,8.629723504250359,8.633159975557492,8.621683309569782,8.61579581887455,8.614628259731235,8.624509586404793,8.624509586404793,8.624322378659567,8.624322378659567,8.624322378659567,8.624322378659567,8.609582808448359,8.605339707033387,8.59433356202559,8.59433356202559,8.597314394617701,8.597374074737306,8.59856537557005,8.59856537557005,8.605854973336395,8.598441328058552
6,5,8.54,8.55723404255319,8.473530178028657,8.533719062092922,8.513767702504527,8.513767702504527,8.513767702504527,8.539250863198216,8.560254241284746,8.560254241284746,8.560254241284746,8.575328844102877,8.575328844102877,8.575328844102877,8.575328844102877,8.564901359367166,8.564901359367166,8.571676529552898,8.571676529552898,8.59127266709838,8.60199994484018,8.60199994484018,8.60199994484018,8.60199994484018,8.628341829425125,8.64577030057561,8.622873985963592,8.622873985963592,8.617032597134985,8.589786335765055,8.589786335765055,8.576567753325431,8.576567753325431,8.576567753325431,8.560779752870454,8.560779752870454,8.56874076522693,8.55753088751771,8.55753088751771,8.55753088751771,8.55753088751771,8.534915847175998,8.534915847175998,8.534915847175998,8.534915847175998,8.534915847175998,8.51890501324081,8.51890501324081,8.51890501324081,8.510304804355776,8.510304804355776,8.524892612181546,8.51752494761046,8.49835735695822,8.49835735695822,8.48891754253798,8.48891754253798,8.499204318400572,8.499204318400572,8.499204318400572,8.499204318400572,8.499204318400572,8.496200538090251,8.488416713015866,8.48877869073412,8.49626567151805,8.48347034264387,8.48347034264387,8.46489499952071,8.46489499952071,8.46489499952071,8.469075266628042,8.469075266628042,8.469075266628042,8.469075266628042,8.464035629574639,8.473403113006885,8.473403113006885,8.473403113006885
7,8.346938775510203,8.346938775510203,8.479591836734695,8.45578231292517,8.45578231292517,8.478629187524067,8.478629187524067,8.529057196173099,8.450496381426301,8.450496381426301,8.450496381426301,8.450496381426301,8.450496381426301,8.408361977730479,8.370337563847503,8.437774804228084,8.437774804228084,8.466724596532547,8.466724596532547,8.466724596532547,8.456492057453833,8.498639731911295,8.490197359371109,8.498600629219952,8.529190374505998,8.529190374505998,8.554865976099373,8.563043127565317,8.563043127565317,8.583695320961446,8.583695320961446,8.583695320961446,8.583695320961446,8.58885968205917,8.593137628188769,8.593137628188769,8.607017521351942,8.610675815835943,8.610675815835943,8.622977607376843,8.629071489120754,8.629071489120754,8.629071489120754,8.629293244940541,8.629293244940541,8.610368693287473,8.62243541623112,8.635219585539392,8.635219585539392,8.643243893910514,8.643243893910514,8.638128961392407,8.638128961392407,8.64006393707482,8.64006393707482,8.64006393707482,8.64006393707482,8.64006393707482,8.64006393707482,8.64006393707482,8.64006393707482,8.646103605707898,8.646103605707898,8.646103605707898,8.647358041898567,8.647358041898567,8.647358041898567,8.647358041898567,8.637704832906557,8.637704832906557,8.622082097420915,8.612903891011076,8.612903891011076,8.612903891011076,8.607557686919495,8.607557686919495,8.607557686919495,8.607557686919495,8.607557686919495,8.607557686919495
8,5,4.209302325581396,5.785502226620485,6.368112595524767,7.003862224421354,7.137705164152468,7.137705164152468,7.137705164152468,7.392532081238167,7.392532081238167,7.260468227687426,7.406886971953771,7.212687409413452,7.3268353351387745,7.475230638623375,7.363164317288819,7.474281855012164,7.497008353239058,7.551456162369526,7.551456162369526,7.616174934830126,7.673279734060068,7.6369646290088005,7.695058108573639,7.609241373357723,7.558007657166086,7.615647625318616,7.615647625318616,7.5531315449907535,7.395280475714178,7.395280475714178,7.342022448174972,7.393454095668968,7.404807647681229,7.347493088835471,7.347493088835471,7.369317194629514,7.369317194629514,7.404228843697419,7.3891301781835015,7.423525982564247,7.462979443579828,7.447597695239244,7.386497501349292,7.416066470538391,7.431848457821138,7.431848457821138,7.431848457821138,7.41779874008041,7.435743568766131,7.435743568766131,7.435743568766131,7.435743568766131,7.463311518008515,7.4914108618469575,7.516977683976895,7.477513086675107,7.477513086675107,7.477513086675107,7.507744432607316,7.435127889660487,7.392254739080106,7.412141299459743,7.412141299459743,7.412141299459743,7.4352390501654435,7.397264132511177,7.397264132511177,7.368409758951862,7.392798683246124,7.343454921586066,7.3435058446911174,7.366429724397527,7.366429724397527,7.317949183953935,7.307807234240472,7.334458389375254,7.358066067208504,7.363757787273112,7.363757787273112
9,4.3,4.319642857142857,5.508692722371968,5.9988664805544865,5.524093184443589,5.188517370015047,5.188517370015047,5.4441950128079295,5.2318078911088985,5.338842786676745,5.275413053463616,5.410803310635373,5.410803310635373,5.70643081252687,5.809354938058991,5.809354938058991,5.762532882043788,5.762532882043788,5.96387126961768,6.128889731933242,6.278910646702984,6.302106086965518,6.302106086965518,6.233574187651543,6.233574187651543,6.351140761287834,6.289906315098143,6.289906315098143,6.36174559033779,6.26000617903766,6.304405146383958,6.400377088676748,6.4568843243965395,6.544049528218379,6.523859309505412,6.572002091936261,6.651516915822073,6.695688413161146,6.7505412875047615,6.803258099351023,6.834419481665382,6.891811418043569,6.891811418043569,6.891811418043569,6.934648941546552,6.971080286252109,6.971080286252109,6.941913570772822,6.991726437794426,6.96105092390839,6.880856436083231,6.921571975483848,6.957595609432923,6.87831815819813,6.909262939867801,6.952484091119282,6.9340292462652275,6.9340292462652275,6.908280995458601,6.949545313064334,6.936554406803047,6.95820660130751,6.891891165158686,6.931228014609399,6.959923222316062,6.924288254637589,6.944489456439696,6.9665957020204985,6.980744638926234,6.997003204368163,6.988078791987668,7.019484814313216,7.0370154298682195,7.0370154298682195,7.044503628280225,7.063509346044868,7.0842106008609615,7.045661955393371,7.050266503322823,7.036256127915278
