Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,8.692307692307692,8.692307692307692,8.779487179487178,8.779487179487178,8.790491452991454,8.8289797008547,8.829850427350427,8.712375356125357,8.74247557997558,8.743416132478632,8.754381591442995,8.762276765632029,8.757150000841952,8.75287769685022,8.758312444151334,8.73748060290243,8.747964352182619,8.726216580171204,8.726216580171204,8.726216580171204,8.726216580171204,8.726216580171204,8.735401071995044,8.737029117014927,8.737711795066772,8.737711795066772,8.748445252932482,8.75202068906735,8.75202068906735,8.752802965438415,8.732494761972148,8.732494761972148,8.726974146889976,8.726974146889976,8.733450736569932,8.733450736569932,8.743702631317241,8.743702631317241,8.743702631317241,8.743702631317241,8.745397855498474,8.7455622178021,8.752307536863691,8.744877677791765,8.744877677791765,8.748806354852245,8.748806354852245,8.75114145038076,8.75114145038076,8.750601810470233,8.74911352192699,8.74911352192699,8.753274188217798,8.760127682989525,8.761841243226693,8.764599807001428,8.766972705723003,8.766972705723003,8.771235888079929,8.771235888079929,8.771235888079929,8.771235888079929,8.767059403004808,8.765991851081413,8.765991851081413,8.765991851081413,8.766450512351945,8.766450512351945,8.766450512351945,8.766450512351945,8.765445323939906,8.766736081447124,8.767970719062724,8.771725479177228,8.771725479177228,8.770694161323998,8.770694161323998,8.770694161323998,8.768170991164926,8.770807571341628
1,5,5,8.842105263157894,8.497975708502025,8.581983805668017,8.581983805668017,8.669821187584345,8.669821187584345,8.683225371120109,8.706609377894207,8.719950895337892,8.703486445185362,8.713040582854823,8.713040582854823,8.730625413458231,8.730625413458231,8.730625413458231,8.730625413458231,8.730625413458231,8.730625413458231,8.721023103143846,8.721023103143846,8.721023103143846,8.721023103143846,8.74427117788186,8.74427117788186,8.74427117788186,8.740865702660177,8.748661009613022,8.754890626516014,8.749376629025429,8.73274663123962,8.73274663123962,8.747594040615198,8.749182658360596,8.755473525442564,8.762105111950312,8.75170639474045,8.731100802698595,8.739527158141708,8.739527158141708,8.739527158141708,8.739527158141708,8.73851750038747,8.73851750038747,8.73952474584768,8.73952474584768,8.740941524808054,8.740941524808054,8.740941524808054,8.740941524808054,8.74509157239144,8.735732697844366,8.735732697844366,8.740374941249554,8.74695782844939,8.752912271310347,8.752912271310347,8.752912271310347,8.752912271310347,8.740702808543366,8.740702808543366,8.740702808543366,8.740702808543366,8.740702808543366,8.736891288030652,8.730122965515491,8.730122965515491,8.737619549806727,8.74153126308699,8.745237096720924,8.745237096720924,8.750261183230343,8.750261183230343,8.749837986982918,8.744386226068059,8.744386226068059,8.744386226068059,8.745710363542628,8.748523300824584
2,9.0,7.684210526315789,8.056140350877193,8.277399380804955,8.346919504643964,7.697432920536636,7.791076957098629,7.929034442724459,7.875808393532852,7.9215608875129,7.896606154423492,7.780222308221535,7.859628284512185,7.706956422920046,7.785316190803807,7.637549718352253,7.532819902986995,7.59002435282105,7.591134182204738,7.631577473094501,7.653883307709049,7.593858308873789,7.645333068391354,7.694424582698577,7.742203154946189,7.765693078850974,7.751222964819457,7.737786430361618,7.696253564946851,7.720103936311367,7.729132841591645,7.636494499115436,7.649292348518355,7.681279106069673,7.636813988753397,7.589610822399136,7.575364583955915,7.575261004678881,7.557946619943524,7.592527366209642,7.624416942643553,7.654662654535499,7.599766259012785,7.630327126863505,7.5679538443057535,7.592691420580437,7.573362039851402,7.599177414021164,7.623392452218983,7.61680695611578,7.642896396604738,7.668994542823878,7.651655023147955,7.671994744941512,7.690685749578939,7.710915100689399,7.6974109141963964,7.718145208779217,7.698836770807045,7.718562040313202,7.732397088832657,7.71189936903759,7.72440890286239,7.737395569310721,7.711571384081505,7.71998191866613,7.682897026113606,7.654688332823008,7.628477688088672,7.640928006830263,7.657845996356004,7.676487024184393,7.64868663787405,7.663193875500378,7.6643512904937054,7.641512081784202,7.616092581063833,7.632232419768143,7.647172515720445,7.655749525940606
3,8.736842105263158,8.839009287925697,7.992672858617131,7.533978328173374,7.293849329205367,7.550429996560028,7.749108064278343,7.85546955624355,7.746528494438711,7.72812564499484,7.810257763392438,7.832021997395449,7.893020305288108,7.944312505704036,8.002926966108081,8.052744030726325,8.10500476248291,8.138386850841702,8.075965487764819,8.11216721337658,8.148095758771344,8.117299962249653,8.116547789977929,8.046215441585991,7.978366823922552,7.963004537172494,7.977842752967452,8.009246328116575,8.04149453902443,8.01233360994584,8.02967768704436,7.9523613704353355,7.9613807228463855,7.970256522019635,7.979042843612724,7.901193614296685,7.926837030126505,7.953693119361402,7.974604341152924,7.983572565957434,7.986683262180695,7.947317787684329,7.9671476065753914,7.982600134233437,7.998371413301754,7.9578271072154845,7.973743176273478,7.993898036571702,7.986086058501078,8.003864337331056,7.994638239213454,7.984386320412011,7.941979825786561,7.92569316234607,7.94295328666705,7.9523753393211045,7.936502421922823,7.906809030411838,7.924490233286214,7.9026005812499625,7.913304761156612,7.860939630600322,7.835633710537883,7.846535267144062,7.798468912606803,7.784776002447689,7.76834965205766,7.777948225285915,7.791633355676296,7.787887332948147,7.800511603277268,7.813903190486653,7.774550769666127,7.745315098604573,7.7607108972898455,7.774695351427672,7.785140182817196,7.7986910171805395,7.788581004304836,7.774118478593131
4,8.421052631578947,6.798761609907121,7.462332301341589,7.699021953278919,7.5121587390937234,7.573857772774182,7.539497138568346,7.68733777402508,7.638744688022293,7.734870219220064,7.82595857249671,7.923795358121984,7.972392296386104,7.982767636560206,7.92117136275031,7.969066902578415,7.864268849485567,7.630142802291925,7.687202955554756,7.674717807777018,7.729889975660653,7.7446929565649665,7.625358480192577,7.6677542578036,7.671044087491456,7.622967493033283,7.523175046201362,7.5600457786782975,7.607400521942265,7.542709393433078,7.587821234631631,7.546014321049393,7.571555974620287,7.489001560141835,7.51713535015282,7.437411002191059,7.3560910137148525,7.396720197564462,7.425009423267937,7.426884187686239,7.369046903975734,7.316842705981914,7.350513942641705,7.37329637977418,7.407858047525231,7.429682105315603,7.415220783925909,7.445922202779304,7.420015026972283,7.444114726432838,7.473468878279022,7.5004213998505795,7.501139138314937,7.519091899370107,7.546017501199741,7.526346553757683,7.532317082054331,7.505897822018912,7.528230560828162,7.537847770779273,7.54214534830748,7.550478867357549,7.573487139304255,7.570960226282038,7.5886719492965025,7.586823384408172,7.600452886133423,7.618093284866755,7.603167806739957,7.619551123786528,7.629839136127563,7.619768619025262,7.632682747531765,7.650259106799354,7.66575565204203,7.676732551357266,7.690310339290577,7.678443615483684,7.6459457356815,7.6212047473188145
5,8.846153846153847,8.851648351648352,8.827024827024827,8.15776862026862,8.237326007326008,8.347771672771673,8.163636223720257,8.243181695755226,8.308754099930571,7.996926308985133,7.850741088976383,7.916750760133113,7.85172597638661,7.900132104123701,7.953848787378199,7.995795738167062,8.047513635921941,8.084089675756342,7.974400745453377,8.02068070818071,8.016719722076864,7.9346200217910745,7.977596408803502,8.013252113992245,8.046406239958872,8.008422289553213,8.038611442227714,8.068482462148152,8.091025212495534,7.970042320796964,8.003266762061578,8.022509913842391,7.961221734635047,7.981393413720175,7.998731753160103,8.026544760016767,8.014698558235711,8.01740772930381,7.999867360176363,8.017058176171954,8.02965025317589,8.051500685744383,8.061930902354979,8.0744122707358,8.088444939229252,8.104916871988483,8.109403523088393,8.123493330643099,8.132104784006597,8.06593327656176,8.080046629682396,8.006109081374024,8.023751862302596,7.96775645744514,7.955009370340077,7.91116991729829,7.929175708222881,7.907070244693683,7.913165099303395,7.919875505543075,7.936762792337451,7.905524682783621,7.920913179882294,7.9277292685894905,7.890379587534268,7.906300752429024,7.911430591945009,7.922914078715048,7.937618222501787,7.950116533608904,7.961197175463189,7.973888881359534,7.986503236986188,7.99513157162151,8.003863150666557,8.015508226169482,8.003762809090802,7.991648202941071,7.970656875477681,7.977690331200877
6,8.894736842105264,7.6418128654970765,7.603313840155946,7.852485380116959,8.069488304093568,8.180713937621832,8.250135756056808,8.300118786549707,8.377883365821962,8.2734283625731,8.00008639021797,8.069523635477584,8.011291048133153,7.9978795026782645,8.049872721018232,7.971755675954593,8.032240636192558,8.077458036745963,8.053990716252407,7.928791180439788,7.969776061571728,8.013930625617933,7.937237989721501,7.8898530734831045,7.856364213701675,7.733683538815713,7.735316658777271,7.769323206678083,7.7404959696661955,7.770198735589602,7.777611679602842,7.814075203504141,7.770466864004016,7.690616531402591,7.728027487648231,7.759887835213558,7.732991025676784,7.763409390498156,7.790232837139839,7.798254793989121,7.752960200735441,7.780667497543327,7.807570578995808,7.822274553440118,7.79223707970354,7.814144969275202,7.838362756149793,7.857933902433709,7.880167259956544,7.888278200471699,7.908769477586633,7.902110449171506,7.867120045368629,7.884627081565506,7.854556938823755,7.87246025879374,7.883931408454791,7.899889898128395,7.898595652596807,7.860603185370987,7.813708051184578,7.827465448208482,7.842735420208514,7.813023561620698,7.829086935397962,7.83256779288302,7.809480427104382,7.820554244352847,7.835942631263334,7.850984720657985,7.866229067315384,7.840309219158226,7.840333822500687,7.806929595880835,7.821170534602423,7.814235628187376,7.823953347301826,7.833332862792258,7.842675846445882,7.85357096979388
7,8.823529411764707,8.876050420168067,7.4301874595992246,6.852052359405301,7.148308554190907,7.445812684047978,7.586206790408471,7.637930941607412,7.660616977335244,7.538305279601719,7.435892500172686,7.566234791824962,7.662949762589558,7.742580335103002,7.808630534985024,7.872674459881793,7.925915831522734,7.970155075450483,7.854766796625604,7.75150214100485,7.799749938211902,7.806178416956281,7.844496746653833,7.8810686414691835,7.911708248751593,7.94635408533807,7.953391476116795,7.901484637684051,7.915657581212188,7.847635661838448,7.856851715757638,7.7636688496402115,7.801133429954145,7.805252342913971,7.835306357606225,7.804793461707806,7.80813881216358,7.834569369738222,7.851631693591089,7.831903401251312,7.856641216980641,7.8793997594334835,7.900809067353635,7.891101684243923,7.906593542241117,7.8966675956706585,7.865271532604877,7.886133931231164,7.846440921830288,7.8645121033936825,7.842332127510146,7.860546388215923,7.830832574961175,7.8460023420915235,7.812438663144405,7.812811782254921,7.808576989082529,7.824581560051161,7.83920729632148,7.8543871747161225,7.8723870727106275,7.889725481554853,7.879779964303774,7.852144513472639,7.865957674803829,7.866305117441481,7.877080194705305,7.885750583998854,7.875812169738001,7.869014853027458,7.878371451341626,7.891812873491795,7.897861098969076,7.90599811114517,7.917251469663235,7.929176179427728,7.942271293980614,7.954323622790818,7.967560032628908,7.9787988655543804
8,8.789473684210527,8.8359133126935,8.858862843382967,8.876289989680082,8.874365325077399,8.875696594427245,8.760801162570292,8.488069438301636,8.496339500712565,8.258470256523662,8.123084848587943,8.17655326806836,8.22651739794939,8.170655044127608,8.219278041185767,8.135720222435186,8.176179586513394,7.977502942818205,7.96740880297063,7.926181219964956,7.956151426421651,7.986553634311576,7.907428113979188,7.950500962171232,7.954980923684383,7.9567124266196,7.827804206233335,7.734747706804367,7.769302686061566,7.808365145545789,7.838316015214091,7.8727804044445335,7.90693857400682,7.887184325290356,7.918979058853489,7.903868529440892,7.895086876440356,7.915853288279183,7.942143626287107,7.9553547415122825,7.893943650255886,7.915814039535507,7.941027666523054,7.9600447145061155,7.892149540956244,7.909839384695047,7.928028033581385,7.944110782881773,7.958456661262337,7.938111057448856,7.955255938675348,7.899436239449811,7.847088385875286,7.864966378729447,7.828633656691942,7.8448516647021425,7.804298711520233,7.80012976821816,7.814110619604293,7.822110736728535,7.7983876098969205,7.756098625676572,7.767439730591136,7.773677651467316,7.790114999339478,7.804658711470698,7.815969775478599,7.833381984662736,7.8409118280222705,7.81175594476481,7.8276114948385445,7.841443688129186,7.811652222081754,7.8248660256240345,7.838181537439244,7.824830851575105,7.794638243113091,7.810091598970615,7.794211395889413,7.797478197885239
9,6.277777777777778,7.388888888888889,7.854497354497354,7.111461251167134,7.349169000933707,7.582640834111422,7.749406429238363,7.757293125583567,7.881482778296504,7.96000116713352,7.992046515575927,7.887153750389045,7.964660142059523,8.014803465245748,8.053816567562698,7.932397476534473,7.981192022732726,8.03779246591424,8.000715669462615,8.030679885989484,8.00540941522808,8.047371324925503,8.072485615146135,8.10868106745622,8.074860140547447,8.096867782200599,8.030099258676831,7.9956909518193235,8.01691233662249,8.010793036512851,7.906080547668982,7.9347508246719745,7.953563089244204,7.974536723874277,7.91812138890644,7.932091701202898,7.8812954816824785,7.909090337427676,7.83107947407483,7.853723539854538,7.858725978624227,7.860766894477089,7.8872606876287845,7.906569356211384,7.92114559274002,7.9391641668108885,7.959708799533251,7.970416620595606,7.984625805209301,7.935933289105115,7.907201033148037,7.913510515542249,7.922911538001497,7.939153916927395,7.918669300255987,7.935231524289877,7.902312085783244,7.854735276422449,7.867366881906815,7.882540396837997,7.878090736416245,7.852100025613832,7.860983591967301,7.8704473900094785,7.819449054094802,7.782622384925016,7.775916578184841,7.780192314780162,7.789718513116682,7.7456637108284605,7.740132407527645,7.745725806629443,7.759972224151154,7.762420930184088,7.757869352869353,7.7378354681953745,7.750980462114915,7.755775584395494,7.731316772083711,7.744234135962077
