Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,5,8.13266146074005,8.110708244841305,8.173353354086464,8.206619283051689,8.243609303971436,8.240478776560458,8.278307881555786,8.274577218392189,8.22285760068718,8.219887943114799,8.21333040258626,8.051849128576965,8.04955255222741,8.064049073129206,8.155479213892052,8.207357119538994,8.215853060712856,8.224507620165845,8.255510180503618,8.223046501228495,8.23809040601433,8.24177979426769,8.293537372877626,8.291199818799246,8.290058575418401,8.301302376383758,8.343916668606571,8.342941118087317,8.381864700930116,8.385463678454997,8.363860567424997,8.376187865105983,8.382337492363947,8.379127996608258,8.404831871427284,8.422848821280905,8.42254030815404,8.445182765502338,8.44627924675352,8.46207973683968,8.469264735225382,8.477258679927706,8.544267254003636,8.532373829076136,8.52999099132409,8.461641961200488,8.4511411029284,8.45926940220053,8.493535861788363,8.48819841487704,8.53136974702633,8.561676525796164,8.568368366795987,8.537509321186825,8.548518033959029,8.552051655858243,8.521854567361565,8.49221751299174,8.501323078532963,8.470686614181945,8.481508474883459,8.51245221416534,8.472501267994975,8.40803270154922,8.435201559732025,8.422017700249125,8.451353865150654,8.428284048734806,8.377381414701558,8.376003306727112,8.376075297927688,8.362052901859219,8.347812728284367,8.339281315736741,8.36928575402866,8.368013230201445,8.43119576801483,8.429490344490059,8.42636612720355
1,5,8.963075105852283,8.349617819338544,8.41404820442071,8.469472568717155,8.477460762263842,8.476953099464119,8.482363002089869,8.511142517608874,8.501698108242117,8.500267524326354,8.322636840712427,8.381498409069007,8.336306342311165,8.344626767603057,8.415656761057294,8.406208641498356,8.407263489274094,8.407711318909438,8.415283483449198,8.407448367177825,8.416971067327673,8.420333763212732,8.425498277531506,8.423559638903509,8.389689282380177,8.400134076730755,8.381137169338459,8.380444852527077,8.377552183724314,8.430315457322184,8.466084604028934,8.430173798616877,8.469371551819885,8.45625753104504,8.454475490222197,8.482103276371824,8.489382226919252,8.512097906574182,8.48754361466472,8.484728100311669,8.494250476703424,8.538856349345377,8.517510510083067,8.531831264668288,8.48984738686989,8.404892164881296,8.407716539402456,8.405647497797993,8.410626089908778,8.39069061279422,8.42518177410249,8.395601390471493,8.394070360784825,8.412987840118998,8.41050176446495,8.39924919296985,8.394185887682141,8.40381454496498,8.408554039619805,8.413750691660713,8.382729428984632,8.358535196487601,8.362306487648151,8.370045348049356,8.381492445184227,8.365389799580962,8.335906995510257,8.318326995102922,8.309434778664645,8.319938464430596,8.344341252884556,8.332921273202597,8.326815561836659,8.33023081647277,8.349109133399,8.380210488920671,8.4397755314271,8.455392712680199,8.444753843596445
2,8.176470588235293,8.244368608027143,8.126631846257713,8.140274211295836,8.16313845061921,8.207138314603927,8.54783313689701,8.569976253818833,8.425297774577912,8.407764087142953,8.405968681309712,8.320805892692853,8.319501933040403,8.200238442611585,8.242835700197197,8.168612102331558,8.201839655505061,8.202515691255961,8.203177526941438,8.17852530881412,8.150014832207273,8.162161303162447,8.166157541498919,8.11145457759994,8.102062462371284,8.100843894814837,8.175376663673614,8.169312712499266,8.168475551757838,8.207411484157621,8.210972818240867,8.20551190777234,8.21300860030923,8.2113437908652,8.203462338972418,8.216605814317496,8.247500806159218,8.205850001304194,8.19908298569457,8.206935654587308,8.207797640469003,8.222236265504673,8.254773936531635,8.256194308352413,8.291976001930472,8.276825270924599,8.367834772566322,8.395726394380738,8.3515945193285,8.353813620984564,8.38106051626157,8.431297673483225,8.425319141440003,8.404673749141548,8.456488415551014,8.445408335026455,8.44067579266084,8.395782691971046,8.395393133361834,8.36157314744443,8.36520786445574,8.357475625350707,8.370802370550098,8.375596754683077,8.395546680711707,8.407356332954606,8.404267592085347,8.382989071448705,8.380204843393098,8.374879023731786,8.320059608103104,8.290723580313212,8.224683909048176,8.156084015445838,8.14028053746857,8.136784021332922,8.178510419987148,8.149088369020784,8.151341708145093,8.200498563405294
3,7.545454545454546,7.989701245853364,8.12644385693638,8.107969631468336,8.300424646959616,8.440294363324107,8.435678385535756,8.349437885522967,8.417686377916118,8.392869491581692,8.389841478069254,8.382705984197138,8.419723481581144,8.45125393605851,8.464593822988743,8.461977919639263,8.448547386835955,8.448169018423169,8.449189034099472,8.441292209190147,8.434902335123347,8.445722504050785,8.449292206590183,8.447578418869716,8.440830864025825,8.439801314392493,8.4514101689742,8.448619331940229,8.4222405687134,8.419889364419664,8.436081936603488,8.478556292882597,8.473321644125559,8.486394428104699,8.514491979851282,8.485399172163712,8.43510996673336,8.435327181437371,8.505510748865834,8.4479917181797,8.458520219829369,8.478481022663924,8.483421487273333,8.469503341521474,8.43607669086537,8.433614714790114,8.402123380694169,8.412940510107184,8.410032345935385,8.412576647379941,8.415577764839584,8.436557018916968,8.396652159763505,8.415263826893014,8.356927273720093,8.353732269166283,8.339924313988337,8.345253509972348,8.296994794117495,8.316999576365621,8.318541700846051,8.292990548346282,8.296731327746997,8.318167940027564,8.298568260992399,8.329765551190984,8.313462959308538,8.349101292024077,8.353488824956269,8.377258636555661,8.380848793708916,8.370700008052651,8.341127767645212,8.320454270085555,8.308164023718035,8.327920842750675,8.326520047072169,8.344408659455754,8.33395565442408,8.291647377474703
4,7.866666666666666,8.203503173596406,8.255829066094925,8.268129028495583,8.315632900024541,8.383352103818174,8.376244719689016,8.280267806197621,8.353633389279745,8.334888048650585,8.332046071566523,8.325158814836039,8.323560524651674,8.381813942348767,8.323947109215794,8.334911815388539,8.320007342164725,8.31196932104616,8.312566879810943,8.297363973699316,8.292658217047599,8.30327194431172,8.307323858931305,8.338143407675908,8.336015830362868,8.334911628467955,8.344599280436498,8.339881023837897,8.33669429430616,8.334094236120885,8.337574262858581,8.388109978906247,8.390021161125949,8.372401553719184,8.394732217294191,8.392755422020695,8.395899344711683,8.381909387936135,8.432510279486065,8.406494484510388,8.407314227311295,8.427967470631243,8.375041746750808,8.404088443832048,8.382699661477107,8.415922009970814,8.413225181137399,8.428175339462374,8.477570903356328,8.495010528717074,8.516721304920672,8.482296197637847,8.452633412496509,8.45034524048421,8.424682728496958,8.395706861884879,8.398055232529572,8.390342153973974,8.379332486496882,8.391574738052155,8.393300261304002,8.402608464158295,8.403851916941909,8.397686919973015,8.405797662130716,8.395085063081304,8.384488874386083,8.38199622681941,8.386593218265595,8.369415815504436,8.364777026553087,8.366066946556991,8.326345527316747,8.382410617242272,8.366169754254923,8.365014107427092,8.379752781149374,8.381509984113153,8.379204903429091,8.344205735938287
5,5,8.054331763522013,7.926232568124992,7.9114445870341115,7.9138731165931295,7.934785147365042,7.932826335225046,7.951724518233007,7.947842973364391,7.9372160046589695,7.935510009790266,8.113976116932088,8.111784877735959,8.109967573248522,8.204970903757834,8.202713072817511,8.141099831553905,8.146126675162636,8.273560607031099,8.227965386315262,8.22415232657821,8.246855891859637,8.251356910262333,8.291431209402322,8.288286519416978,8.286980004606843,8.295255230128044,8.290791608404922,8.209341064212236,8.124926759101179,8.129913121583957,8.127718576176266,8.146024379040282,8.170230158840601,8.172416107710848,8.178586247597327,8.246893472606686,8.247703534529967,8.241341233296994,8.24288783572853,8.243802766566281,8.257767908121576,8.300412188800088,8.306737804546518,8.30922195051614,8.282520516091957,8.288955957961264,8.315791762344553,8.34682506345756,8.298659874188708,8.33433405180194,8.344726911885928,8.333936823482253,8.313544734359962,8.286838623525028,8.284158816752939,8.280129035670434,8.277421245674265,8.276972333196932,8.342392579584947,8.427329509954347,8.405683041368906,8.426230318886647,8.45288247186058,8.395371844389935,8.368701504472401,8.374627714159669,8.3449687972286,8.303751522747273,8.300691622779805,8.297058050557126,8.298580474541712,8.28867214503972,8.265461878021043,8.25985107108827,8.256980186629615,8.264055647950814,8.243420391840775,8.283372913337374,8.240736297497863
6,5,7.7507967453100015,7.725145219608649,7.825741800560247,7.936244284730922,7.979051141742498,7.9757656172926295,8.019443001373723,8.416900323083034,8.349743246403555,8.204468512020366,8.198382233999327,8.356594546329259,8.396132535200383,8.406725358126334,8.467962375439654,8.458319857167194,8.462403921961249,8.454452011999624,8.448667975306526,8.383789949054343,8.3919720451446,8.394914867323422,8.413634742228387,8.411478231502157,8.410470719791409,8.418476205230768,8.414262736230878,8.3563658148448,8.35427729156282,8.3370652774581,8.3507685844872,8.381534659775614,8.374967010022976,8.3968865919556,8.395159871745664,8.401214264295312,8.401834454163598,8.396706394253474,8.37170840800633,8.420691314608248,8.468382452755208,8.474850892629759,8.467539365337611,8.422310961960648,8.419239233799008,8.384099628111745,8.361157297338654,8.38417619127499,8.39656388317345,8.400730894676569,8.407368014631313,8.39852787220756,8.395864268034892,8.375066308432134,8.350387586158835,8.345908788698907,8.3503487658934,8.345276371268666,8.39607418829002,8.400959693606808,8.394506493149038,8.388611527236687,8.392538664476906,8.403545911410559,8.389906163914178,8.39153534398244,8.390384858750515,8.387700027222163,8.382687111053414,8.378671397529475,8.336097189330216,8.340909834908608,8.344341991336885,8.303744837380993,8.358440183038164,8.34345855406501,8.345492837696446,8.349159317371797,8.30619283226013
7,8.0,7.982483665586537,8.18868767988497,8.246234910188399,8.089913987247158,8.08105255065309,8.078737641524278,8.196223820662627,8.252225937154474,8.230564419884988,8.247871569345957,8.243141572346428,8.232259614142283,8.230352133482356,8.205044944371028,8.203643811792968,8.188344909319792,8.11575805556635,8.117960510443675,8.109726217962612,8.102886221501517,8.113974141014936,8.097405816274643,8.102784146060959,8.100559264364186,8.121793712243566,8.138623123584228,8.13275727215903,8.131979596826618,8.129517991461526,8.13334538632034,8.113851454732576,8.10883018558836,8.077218070240786,8.073058788230483,8.122365811594243,8.152070285379715,8.150190654872176,8.09863713464291,8.093283350836519,8.146703205095701,8.19487427573227,8.204566470857976,8.211464675922738,8.214758695552343,8.310567987465234,8.330026502150604,8.384059193964784,8.466902812851586,8.466591278558075,8.47021876090214,8.479743458776461,8.438364577454358,8.457573206199962,8.451510069354336,8.463663949793471,8.464054685247284,8.49113941268854,8.490400436807663,8.498065109179198,8.530588847673823,8.476955585729334,8.523436851711947,8.527473885458635,8.561120998746485,8.559144699428714,8.560670125381101,8.557257901686043,8.554485739761923,8.54983309527158,8.552785872097061,8.580078458003332,8.546576779077466,8.543262128850554,8.535571287934221,8.533489461547813,8.426912300729121,8.396368138324814,8.371022193979424,8.371086744940563
8,5,7.682689750223663,7.743942889823008,7.796554150012465,8.068682138534147,8.116528364489294,7.947138429280623,7.994761643243493,7.988196355651282,8.034882611744589,8.031768008090015,8.04019682007472,8.015528564175446,8.013171888259242,8.028224791817395,8.119606550076025,8.146503913902265,8.148564336931493,8.148599003863314,8.221833094267556,8.2152065181792,8.22789056856028,8.232350937166743,8.239312889549648,8.236713619871448,8.235408749291448,8.247176499138003,8.265426005338245,8.264443030716407,8.29196009559615,8.319918146121335,8.273990061728089,8.290690854808982,8.28914345139257,8.277606592233955,8.277636724474378,8.285477484630025,8.335875083737086,8.329506356159559,8.330759512730562,8.336699354882224,8.318409724871728,8.376122334114305,8.422652261391038,8.47797995398922,8.482740159439167,8.455170335843523,8.452545649938862,8.451969810955017,8.386149293868357,8.346569415254574,8.356743642244872,8.293419859590898,8.325735533233328,8.317202914172594,8.297676987173395,8.29306968291158,8.287326112686085,8.272385037520065,8.310079442796493,8.29210805640498,8.263401699759555,8.316276891497864,8.33262624425522,8.340297899764543,8.359564233643546,8.360800183657833,8.358164000919547,8.355752576642203,8.3514800444072,8.347559580799668,8.381751929354337,8.404678444735474,8.35750191534623,8.339281785750078,8.35015172963312,8.334241097672608,8.336308120769793,8.381112426665577,8.380990489604054
9,5,5,5,8.0920711082668,8.166115631321276,8.204718905305576,8.200189957463653,8.243976838262602,8.241154834989894,8.213419863985726,8.210087354034126,8.20216609654383,8.200453371630637,8.198530433248486,8.214172971117918,8.336175782219847,8.32709803624454,8.328637923723626,8.328768051846838,8.32366938051947,8.076757466991847,8.092695176682916,8.233252270636186,8.242367645282464,8.240527717215087,8.239821166864848,8.27158497110317,8.268683956474566,8.26802025269585,8.266688235158623,8.209586169166023,8.208196564706112,8.212002570904001,8.297241297240612,8.228230055219218,8.227319137514733,8.23215226284802,8.292181678064601,8.287011809643436,8.330766593731127,8.37432814867303,8.383844784786273,8.38884307901137,8.391869137521624,8.439941135192669,8.438147799412377,8.433942800078306,8.419324241752449,8.418039122524705,8.445727316563907,8.448417082082074,8.547685551094542,8.553859044661122,8.506067119371146,8.50074827161745,8.498272043081844,8.494372952402193,8.49428338843133,8.49387655376216,8.468890202889316,8.470858175314259,8.513125121877893,8.515236515861371,8.51335098904628,8.471868801314589,8.490246227603755,8.521945631394098,8.517134131454874,8.454779826345991,8.451564635029525,8.425488229668499,8.403546461360222,8.381390571698521,8.378763646773525,8.361666721548513,8.305333889150537,8.304431889590735,8.317597735363165,8.32294335244738,8.322872226297584
