Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,5,6.877991664212804,6.896398407029686,6.892428728098783,7.476370697103926,7.8606124492683875,7.8530407331442165,7.873764723512416,7.905924147398203,8.169545874354643,8.177376811627237,8.172058480641377,8.263313308289103,8.26530938513494,8.275707814919247,8.269041254510249,8.27142070649133,8.279010850672698,8.282904045994021,8.273782456213358,8.308106444194577,8.351124846009522,8.351273049253187,8.322992320666843,8.322949551192952,8.322495631799757,8.322107950973571,8.317700903500473,8.31781794779091,8.320033848422398,8.319414773068825,8.347092256004085,8.434651724256227,8.414196064407193,8.412615247870026,8.40021940346909,8.374244455961247,8.367569922079479,8.349757766555292,8.354547590500264,8.348504052142994,8.34052989425253,8.335708495662082,8.303111960973766,8.332360894474856,8.333670216997893,8.385909383054411,8.394411209766599,8.403619771624673,8.415758445741144,8.434502550640985,8.407822872580716,8.353469320560027,8.350809200132998,8.38249102639314,8.358274092209516,8.357348273733535,8.359464614950774,8.368550393718879,8.361553853008825,8.359170840706742,8.345524501534152,8.311587602754475,8.326130938354954,8.379651174175157,8.343127816641559,8.392859451920359,8.3497021565465,8.380977998476663,8.425974851856719,8.444783806508507,8.420279876359661,8.43168928547518,8.418202496232354,8.421460060975676,8.387556871620404,8.384297606564331,8.339177691303787,8.339468028434927,8.368833613450597
1,5,7.724126731170484,8.131964430444764,8.135290671987637,8.170068588292963,8.196578002174022,8.191266981305581,8.209864807588309,8.346127473465726,8.34944675964351,8.350483832812106,8.493418315269022,8.595333965543023,8.582979872742238,8.57986737381701,8.539021063905121,8.541910167381559,8.541103055270298,8.541699179605605,8.48055755343109,8.465805222265331,8.460688900644996,8.457677574883286,8.456486458856869,8.45796165219253,8.476846442053535,8.474050408879977,8.46651551547403,8.466893986769534,8.467419769924241,8.42007822987578,8.40930624203235,8.455844506178892,8.427962478838122,8.415278086406001,8.415280042942108,8.39320579727994,8.418865476493814,8.34795830911656,8.369403560615439,8.404086460109056,8.40142817334341,8.35839770755565,8.339415590715223,8.328067775429574,8.351387206397177,8.397169427103666,8.396125837148647,8.395462843625193,8.413363299892904,8.433735375857859,8.434206260169653,8.45955731505315,8.459723517169394,8.4455215827074,8.445518278642737,8.453588888158164,8.453188892785676,8.399410134137685,8.412948647201198,8.39836298114722,8.422608766294877,8.42910346289215,8.427976855123232,8.423841966063405,8.397482803713533,8.40955021865377,8.434161785238544,8.411288859041896,8.443832165090303,8.431605291649642,8.360945874649165,8.359155872198329,8.371481577916141,8.347919207312966,8.34943437420247,8.318532518698477,8.282506159124512,8.274665473338386,8.26521627051483
2,5.9411764705882355,5.9825674942675775,6.072125300163816,6.048454368286497,6.047430920153049,6.066158602802815,7.074498362696958,7.082542327575592,7.549408982920076,7.558928430368703,7.561926574943726,7.7614829909716345,7.7603679007606585,7.948408959426467,8.080065657705207,8.210399469217357,8.259605806537618,8.261219178920568,8.260626520696547,8.298448242417376,8.326512902936292,8.326765541583782,8.326729075203144,8.332548361383921,8.365600356723569,8.366337184811925,8.319514410827749,8.318654164997335,8.318629174821604,8.367258810174793,8.367071009060336,8.538196145107221,8.537596351136159,8.537350357972585,8.56934052107573,8.549038178674163,8.566662476208103,8.597489553687504,8.596965934076378,8.603373254801323,8.601718329929334,8.600394981066987,8.567290616630455,8.549390685709277,8.532049003264628,8.527597439518253,8.473041149381451,8.410819442135999,8.427346711390298,8.42552086296055,8.437168805529137,8.457304156534548,8.457349007863503,8.461294567825583,8.459773674898697,8.443428133387219,8.443961022837486,8.502208800639815,8.502484731330123,8.517573993251403,8.433700886704647,8.430919465083262,8.399673458006227,8.397133745201712,8.37756012895407,8.339349936165553,8.352636201764334,8.306208726370818,8.309967438327293,8.311013229623285,8.34443171159431,8.374185579077697,8.400791115243234,8.45239236336089,8.490095947602176,8.489265985865526,8.443443852542503,8.444325643466565,8.440237934903035,8.432498304145323
3,5.454545454545454,6.553502686805102,7.1296592220228066,7.43530783602004,7.761937980523496,7.891061408747301,7.887716723410924,7.965469314552007,8.035656965472677,8.042970102030768,8.045628105185038,8.043031389525815,8.097069311552236,8.150239921981417,8.153901190286227,8.233906485776542,8.23348695738126,8.236530647992943,8.236148753553262,8.23767244641801,8.23713796731453,8.239163788538622,8.239464910533941,8.244175237099151,8.295115401705775,8.295830627399997,8.295959906525335,8.332893928586213,8.35853699391555,8.358490154658256,8.387333568821951,8.538150683415763,8.611255226836555,8.556657456574792,8.545430962386405,8.504296993605493,8.514738983518964,8.50888800468659,8.510935361488388,8.533437331505477,8.564184795376834,8.474078076165625,8.469329581325127,8.457866642785227,8.433297562743508,8.43472398814419,8.413790219244419,8.40081702272133,8.40145152405313,8.39717129739526,8.398479245534276,8.396234667481107,8.410380428350354,8.371911249420613,8.408137829956413,8.37324208086287,8.370072086106966,8.388703918346453,8.376697782001493,8.356152849693899,8.352474641953213,8.324438128709298,8.320951386980719,8.35498406835691,8.412442379378545,8.398779874646568,8.401626111474322,8.387608417059276,8.324731285634584,8.3165107850941,8.312185325896312,8.274803283367476,8.336718939808662,8.365728775958743,8.357544275911831,8.30735733940483,8.305377685374824,8.278957930861932,8.287379847225225,8.317867156063066
4,6.0,6.9560921887588405,7.485107664895736,7.4678669159738496,7.490832716545848,7.773295715302076,7.76433022730833,7.819980936593829,7.9528890567838255,7.964213784534783,7.966573320187752,7.963283426239943,7.961110386922213,8.025840702564132,8.097217367339876,8.11718851318459,8.20420355879484,8.275201305380465,8.274409090670952,8.299103704789275,8.29851643919784,8.299820319771285,8.300043320732563,8.290468945727417,8.289870963025038,8.290554929495364,8.290230263583638,8.289248609842838,8.28850038308017,8.288415037886342,8.288696958635235,8.464792059829044,8.520678155739091,8.516913718576625,8.474836007141853,8.474756926040325,8.459113844526353,8.45635948789959,8.460114581148698,8.461982938137762,8.461176787782353,8.48279456684271,8.495240347235706,8.5000544334087,8.509802330534567,8.50433186483917,8.52331429965605,8.485691327793708,8.411363310181416,8.388683128931627,8.381235592020621,8.378642949880586,8.414251965357073,8.414395204747407,8.437759164824083,8.456279776059272,8.374997174934684,8.374763635229115,8.3717385863593,8.380351458984265,8.378913518542468,8.351320851936844,8.35031130587413,8.316073434139662,8.313494323228458,8.313420134696036,8.347758854536764,8.346292001066722,8.345633077297439,8.359969097868218,8.36935768744102,8.367884917274054,8.347121903561908,8.31533741493446,8.282158572671202,8.279493973616828,8.250895910871884,8.251274467179499,8.25180650280073,8.268698384063821
5,5,6.0982759098601695,6.181021688443131,6.161153116663756,6.165976632084592,6.783215112418574,6.780441661015864,6.782527948911333,6.794156425696878,6.800516999232586,6.805277267594256,7.195524807405863,7.193960414201324,7.196088871945733,7.567005336541647,7.570755030392424,7.802630796551419,7.805101402612376,7.8864320581568705,8.008397205180387,8.004613093330594,8.096674691909989,8.097801300110778,8.178680659774514,8.177515805806209,8.178538604270893,8.180408415267866,8.180476353286,8.234049266984883,8.277435919980089,8.278972087925666,8.276748480807168,8.480460579838054,8.450885813516738,8.479179414930318,8.509985661926681,8.580573960421937,8.582480640277398,8.583112059891935,8.58215949924309,8.58283763344409,8.58373479120177,8.55444506736702,8.55483059503592,8.555130949502331,8.540724285218303,8.51655347316337,8.491483204789006,8.41501301709517,8.457289917803351,8.414891632603352,8.409603399326702,8.39428133127748,8.412447709261865,8.376927725661197,8.376595777499773,8.37685935399347,8.405623611844359,8.405015844497612,8.37037494455985,8.328999878071546,8.36349787526353,8.385693949662958,8.376564577071884,8.435793786170937,8.434285072812418,8.398551388515488,8.409988256476822,8.441374346995929,8.44188592475778,8.440830934040143,8.438488398297114,8.436815096171209,8.474268008601753,8.476788944623284,8.474502291719114,8.472855678999371,8.527442047546376,8.467948547629124,8.55407149887823
6,5,6.626244653928189,6.674161274865149,6.678019154587742,6.71658107954829,6.738939448210916,6.732567718141083,6.749385490428888,7.6110160409884475,8.050795176650148,8.184018021553282,8.181598004703952,8.344080522003653,8.412048186715385,8.414400646846321,8.310559469068767,8.312135570789897,8.294301064551355,8.347186889184636,8.346219594217033,8.397293011331028,8.396239454698321,8.394894507416208,8.434460985248315,8.434040971230708,8.434312373524554,8.432890697654106,8.477866640391749,8.513275521579228,8.513078672424928,8.537072756563784,8.477991148234516,8.595827785042086,8.585240461844897,8.53967204651209,8.539564359571735,8.537422493810714,8.533684612599476,8.532674935313455,8.538330826350744,8.453803916491268,8.471342856641868,8.469001278488724,8.40989764316617,8.410399414328156,8.41131752686318,8.46550757856597,8.481617340564318,8.458953163924056,8.413626377333184,8.414423095627033,8.411788201543274,8.44619260329277,8.446460151862121,8.40362336066659,8.410613586000661,8.410717954367083,8.434101926047589,8.402282694707036,8.369988006369987,8.346656778860474,8.344084189554867,8.383555833955262,8.381049110565801,8.383087842615549,8.408585894627608,8.408379836128107,8.406930985384678,8.409809805351223,8.410829194690429,8.409968791129955,8.474607470238801,8.472300867011004,8.43340743600751,8.460803906492472,8.418227054941408,8.445447430877282,8.444360960667527,8.421396133050646,8.470148108912605
7,6.6,7.405680053409762,7.887794446113953,7.8927349098070465,8.032055626187756,8.16078171328051,8.152970857615559,8.144271931810424,8.1653210509863,8.176274769369575,8.225291699311406,8.224373996438134,8.306549875589063,8.30774431932173,8.338951875232258,8.342146653955558,8.337557798618072,8.330542387816473,8.330109342660645,8.333812649601107,8.330806811230968,8.333683509962805,8.356776047355241,8.357147072760721,8.357100315832032,8.363491339417982,8.382180436432712,8.38188967677092,8.381947864851776,8.381956697948876,8.381655045142393,8.488194686941462,8.510514298412101,8.528748638904908,8.528472004638314,8.522828224928503,8.501237819154323,8.49593725780592,8.554149173954876,8.563225632291605,8.509547038242165,8.51656770561906,8.514052917416343,8.46797088585737,8.467674756011235,8.3749256328135,8.363728425559712,8.332156908037584,8.331597664152234,8.327786654611453,8.329089678160676,8.319577777470895,8.341646988815356,8.33408182199258,8.332712155036177,8.29952595757813,8.291113487900775,8.255590223086624,8.253735160625933,8.247382902094243,8.23472352020546,8.24333465836595,8.20906001722367,8.205665937657086,8.13263053031012,8.131648894068267,8.131126882371145,8.125722329611293,8.130101028382416,8.131217057269803,8.129201406730957,8.084009555648144,8.044101349795767,8.043875430217728,8.049068978650322,8.043320320019781,8.162670257974213,8.236793723381028,8.231518559106004,8.22831095552565
8,5,6.5454580628187164,6.631530330915243,6.626922713148771,7.351707707016116,7.376192752709722,7.557523034547462,7.57861667625127,7.619926050247292,7.860517345887919,7.8667601711596555,8.042411240955666,8.148017605303576,8.244259260752363,8.253537585292989,8.304937106147129,8.369592678477396,8.370263841064709,8.36955865388149,8.366312820982735,8.363115033325919,8.366819544124606,8.369455882347527,8.369844711873352,8.369040493307601,8.370460133413692,8.373661857493556,8.400960315940251,8.400670022033719,8.398227564219294,8.371947137433203,8.369392944732528,8.510444862937124,8.511208465917507,8.52521003477111,8.548332371333887,8.549011725005752,8.58690923300356,8.587158302362756,8.586790209692795,8.587058639313486,8.572602448698603,8.455589540063635,8.462952628743874,8.385575292082754,8.396354655402213,8.384287203904707,8.339257976937269,8.337910042258526,8.386723808474807,8.392718587513542,8.376674714043332,8.40265849224734,8.391672647625665,8.389133119377306,8.406810926288815,8.407208956046375,8.406728612963256,8.394760061393074,8.341661963552887,8.336819599911786,8.359318001346779,8.376380598467566,8.348812796063738,8.343635495204609,8.292938260390297,8.292592891252713,8.290320875370941,8.294157269307183,8.295276365749578,8.294081901112047,8.261108967195556,8.26088700068997,8.375941910246176,8.337274067872528,8.352703010890679,8.341001909299592,8.340186740016996,8.293202076306667,8.291152582337567
9,5,5,5,6.9083768280413524,6.9454922584038785,6.9662301801548985,6.956372744509232,6.969904138907486,6.996957575246498,7.0069109423028495,7.013430290422424,7.009997974775966,7.005579559622148,7.006481421082917,7.01379977390117,7.742983069213009,7.74000606066202,7.73925155483677,7.738381930595767,7.7418497837780755,8.063158629533186,8.300255287572966,8.132800487241298,8.247020084148065,8.247608103777255,8.246824305279878,8.328299960267513,8.328453656900628,8.32881949667791,8.329353945807107,8.397737107665304,8.399203291932317,8.398294450646056,8.319165272469819,8.50422479489136,8.504388400155396,8.502779947438581,8.480271292128588,8.478426950501945,8.421954181845377,8.355087719354957,8.352541389155428,8.348321888434663,8.343398055173338,8.393798068931876,8.394756252495815,8.389407312245417,8.4086758720541,8.408887994953236,8.433800183791536,8.43461205506982,8.354575957442327,8.35624571538964,8.462870326518868,8.424822945444067,8.424379651438256,8.424293699793571,8.39628732674036,8.395350198172832,8.43050808641221,8.451410068403693,8.425303765929709,8.422843458536422,8.403841100082953,8.46916860195666,8.450932272194414,8.427018919405274,8.424165775925381,8.467637449719163,8.467816537259878,8.516578130337734,8.561845595886767,8.536172650473818,8.536499564453653,8.55660545236757,8.527742934194094,8.526293664175675,8.521648814443221,8.518513354551327,8.517068983497195
