Agent#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,9.0,9.0,9.0,9.0,9.0,9.0,8.75,8.4,8.333333333333332,8.142857142857142,8.25,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.4,8.454545454545455,8.416666666666668,8.416666666666668,8.384615384615385,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.357142857142858,8.4,8.3125,8.3125,8.294117647058822,8.294117647058822,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.31578947368421,8.31578947368421,8.31578947368421,8.35,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.272727272727273,8.304347826086957,8.291666666666668,8.291666666666668,8.291666666666668,8.280000000000001,8.280000000000001,8.280000000000001,8.280000000000001,8.23076923076923,8.23076923076923,8.222222222222221,8.222222222222221,8.222222222222221,8.222222222222221,8.222222222222221,8.25,8.25,8.241379310344827,8.241379310344827,8.266666666666666,8.258064516129032,8.258064516129032,8.28125,8.28125,8.303030303030303,8.303030303030303,8.303030303030303,8.294117647058822,8.294117647058822,8.285714285714285
1,5,5,5,5,8.0,8.0,8.0,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.5,8.6,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.714285714285715,8.625,8.555555555555555,8.555555555555555,8.555555555555555,8.6,8.636363636363637,8.636363636363637,8.666666666666668,8.692307692307693,8.692307692307693,8.714285714285715,8.714285714285715,8.733333333333334,8.733333333333334,8.733333333333334,8.75,8.75,8.705882352941178,8.722222222222221,8.68421052631579,8.68421052631579,8.7,8.7,8.7,8.7,8.666666666666668,8.666666666666668,8.666666666666668,8.666666666666668,8.681818181818182,8.608695652173914,8.541666666666668,8.541666666666668,8.541666666666668,8.541666666666668,8.541666666666668,8.559999999999999,8.559999999999999,8.559999999999999,8.559999999999999,8.576923076923077,8.555555555555555,8.535714285714285,8.482758620689655,8.482758620689655,8.5,8.5,8.5,8.483870967741936,8.483870967741936,8.483870967741936,8.46875,8.46875,8.484848484848484,8.484848484848484,8.5,8.514285714285714,8.514285714285714,8.527777777777779,8.54054054054054,8.54054054054054
2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.833333333333332,8.857142857142858,8.857142857142858,8.857142857142858,8.875,8.875,8.777777777777779,8.7,8.727272727272727,8.75,8.75,8.75,8.75,8.692307692307693,8.692307692307693,8.692307692307693,8.692307692307693,8.642857142857142,8.642857142857142,8.642857142857142,8.642857142857142,8.666666666666668,8.666666666666668,8.666666666666668,8.625,8.625,8.625,8.625,8.647058823529413,8.61111111111111,8.61111111111111,8.526315789473685,8.526315789473685,8.526315789473685,8.526315789473685,8.55,8.55,8.523809523809524,8.545454545454547,8.521739130434781,8.5,8.48,8.48,8.48,8.48,8.48,8.461538461538462,8.461538461538462,8.481481481481481,8.5,8.5,8.482758620689655,8.466666666666667,8.466666666666667,8.451612903225806,8.4375,8.4375,8.424242424242424,8.411764705882353,8.411764705882353,8.411764705882353,8.4,8.38888888888889
3,8.0,8.0,8.0,8.0,8.5,8.5,8.5,8.5,8.333333333333332,8.5,8.6,8.6,8.5,8.428571428571429,8.5,8.5,8.5,8.5,8.5,8.5,8.444444444444445,8.444444444444445,8.444444444444445,8.444444444444445,8.444444444444445,8.4,8.4,8.363636363636363,8.363636363636363,8.363636363636363,8.363636363636363,8.363636363636363,8.416666666666668,8.416666666666668,8.384615384615385,8.428571428571429,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.375,8.411764705882353,8.411764705882353,8.38888888888889,8.368421052631579,8.4,8.4,8.4,8.4,8.428571428571429,8.454545454545455,8.434782608695652,8.458333333333332,8.458333333333332,8.458333333333332,8.458333333333332,8.48,8.5,8.5,8.5,8.481481481481481,8.481481481481481,8.464285714285715,8.413793103448276,8.4,8.387096774193548,8.40625,8.40625,8.424242424242424,8.441176470588236,8.4,8.4,8.416666666666668,8.416666666666668,8.416666666666668,8.416666666666668,8.416666666666668
4,5,9.0,9.0,8.5,8.666666666666668,8.5,8.4,8.4,8.4,8.4,8.4,8.333333333333332,8.333333333333332,8.333333333333332,8.428571428571429,8.5,8.333333333333332,8.4,8.454545454545455,8.454545454545455,8.454545454545455,8.5,8.461538461538462,8.461538461538462,8.461538461538462,8.5,8.533333333333333,8.533333333333333,8.5625,8.5625,8.5625,8.5625,8.529411764705882,8.529411764705882,8.444444444444445,8.421052631578947,8.45,8.428571428571429,8.363636363636363,8.347826086956522,8.347826086956522,8.347826086956522,8.333333333333332,8.36,8.36,8.36,8.346153846153847,8.346153846153847,8.333333333333332,8.333333333333332,8.333333333333332,8.357142857142858,8.344827586206897,8.333333333333332,8.32258064516129,8.34375,8.363636363636363,8.352941176470587,8.371428571428572,8.38888888888889,8.38888888888889,8.405405405405405,8.421052631578947,8.435897435897436,8.435897435897436,8.435897435897436,8.435897435897436,8.435897435897436,8.435897435897436,8.45,8.463414634146341,8.463414634146341,8.476190476190476,8.488372093023255,8.488372093023255,8.488372093023255,8.488372093023255,8.5,8.511111111111111,8.511111111111111
5,9.0,9.0,9.0,7.5,7.6,7.6,7.166666666666667,7.0,6.875,7.111111111111111,6.8,6.909090909090909,7.0,7.076923076923077,7.142857142857142,7.266666666666667,7.3125,7.0588235294117645,7.111111111111111,7.111111111111111,7.157894736842105,7.2,7.2,7.285714285714286,7.136363636363637,7.217391304347826,7.25,7.24,7.3076923076923075,7.3076923076923075,7.185185185185185,7.214285714285714,7.275862068965518,7.233333333333333,7.096774193548387,7.125,7.125,7.125,6.9393939393939394,6.970588235294118,6.970588235294118,6.9714285714285715,7.0,7.054054054054054,7.052631578947368,6.9743589743589745,6.975,7.024390243902439,7.024390243902439,7.071428571428571,7.093023255813954,7.090909090909091,7.090909090909091,7.111111111111111,7.130434782608695,7.130434782608695,7.170212765957447,7.170212765957447,7.208333333333333,7.208333333333333,7.204081632653061,7.22,7.098039215686274,7.019230769230769,6.943396226415095,6.943396226415095,6.981481481481481,6.981481481481481,7.018181818181818,6.928571428571429,6.964912280701754,7.0,7.016949152542373,7.016666666666667,6.967213114754099,6.967741935483871,6.984126984126984,6.953125,6.953125,6.969230769230769
6,9.0,8.5,8.5,6.666666666666666,7.0,6.0,6.0,6.0,6.333333333333334,6.714285714285714,6.875,6.888888888888889,6.6,6.818181818181818,6.666666666666666,6.461538461538462,6.571428571428571,6.571428571428571,6.571428571428571,6.571428571428571,6.571428571428571,6.333333333333334,6.4375,6.352941176470589,6.222222222222222,6.315789473684211,6.315789473684211,6.4,6.4,6.4,6.190476190476191,6.318181818181818,6.130434782608695,6.208333333333334,6.12,6.0,6.074074074074074,5.928571428571429,5.928571428571429,5.758620689655173,5.7,5.774193548387097,5.875,5.848484848484849,5.9411764705882355,6.0285714285714285,6.111111111111111,6.1891891891891895,6.2368421052631575,6.282051282051282,6.325,6.317073170731707,6.357142857142858,6.372093023255815,6.372093023255815,6.363636363636363,6.4,6.4,6.369565217391305,6.340425531914894,6.375,6.375,6.375,6.3061224489795915,6.220000000000001,6.220000000000001,6.235294117647059,6.288461538461538,6.320754716981132,6.320754716981132,6.296296296296296,6.296296296296296,6.236363636363636,6.285714285714286,6.333333333333334,6.362068965517242,6.406779661016949,6.4,6.442622950819672,6.467741935483871
7,5,8.0,5.0,6.0,6.0,6.0,5.25,5.8,5.666666666666666,5.285714285714286,5.285714285714286,5.75,5.222222222222222,5.6,5.454545454545455,5.333333333333334,5.333333333333334,5.538461538461538,5.538461538461538,5.357142857142858,5.266666666666667,5.5,5.647058823529411,5.611111111111111,5.789473684210526,5.789473684210526,5.8,5.714285714285714,5.863636363636363,6.0,5.958333333333334,6.04,6.04,6.04,6.153846153846153,6.153846153846153,6.074074074074074,6.178571428571429,6.178571428571429,6.178571428571429,6.241379310344827,6.333333333333334,6.225806451612903,6.15625,6.0606060606060606,6.088235294117647,6.057142857142857,6.111111111111111,6.0,5.894736842105264,5.897435897435898,5.95,5.95,6.024390243902439,6.095238095238095,6.1395348837209305,6.159090909090909,6.222222222222222,6.222222222222222,6.282608695652174,6.25531914893617,6.208333333333334,6.163265306122449,6.16,6.16,6.16,6.1764705882352935,6.211538461538462,6.245283018867925,6.222222222222222,6.222222222222222,6.222222222222222,6.254545454545454,6.267857142857142,6.315789473684211,6.315789473684211,6.344827586206897,6.322033898305085,6.366666666666667,6.39344262295082
8,8.0,8.0,8.0,8.333333333333332,7.0,7.4,6.833333333333334,6.833333333333334,7.142857142857142,7.375,7.333333333333333,7.4,7.454545454545455,7.5,7.615384615384615,7.214285714285714,7.133333333333333,7.1875,7.117647058823529,7.117647058823529,7.222222222222222,7.2105263157894735,7.3,7.3,7.3,7.3,7.333333333333333,7.409090909090909,7.434782608695652,7.434782608695652,7.434782608695652,7.25,7.32,7.32,7.346153846153847,7.148148148148148,7.214285714285714,7.241379310344827,7.241379310344827,7.266666666666667,7.193548387096774,7.193548387096774,7.193548387096774,7.1875,7.121212121212121,7.121212121212121,7.147058823529411,7.2,7.25,7.081081081081081,7.105263157894737,7.105263157894737,7.153846153846153,7.15,7.048780487804878,7.048780487804878,7.095238095238095,7.116279069767442,7.068181818181818,7.068181818181818,7.088888888888889,7.108695652173913,7.042553191489362,7.042553191489362,6.9375,6.959183673469388,6.96,6.96078431372549,6.923076923076923,6.849056603773585,6.851851851851851,6.872727272727273,6.875,6.912280701754386,6.948275862068965,6.915254237288135,6.866666666666667,6.885245901639344,6.885245901639344,6.870967741935484
9,5,7.0,7.5,7.0,7.5,7.6,7.833333333333333,7.571428571428571,7.75,7.444444444444445,7.6,7.2727272727272725,7.2727272727272725,7.2727272727272725,7.2727272727272725,7.333333333333333,7.333333333333333,7.461538461538462,7.285714285714286,7.4,7.375,7.375,7.411764705882353,7.5,7.2631578947368425,7.1,7.1,7.0476190476190474,7.136363636363637,7.136363636363637,7.173913043478261,7.125,7.16,7.1923076923076925,7.1923076923076925,7.1923076923076925,7.2592592592592595,7.285714285714286,7.285714285714286,7.275862068965518,7.233333333333333,7.225806451612903,7.225806451612903,7.0625,7.0625,7.0606060606060606,7.0588235294117645,6.9714285714285715,7.027777777777778,7.027027027027027,7.027027027027027,7.027027027027027,7.052631578947368,7.076923076923077,7.1,7.1,7.146341463414634,7.190476190476191,7.093023255813954,7.0227272727272725,7.066666666666666,7.066666666666666,7.065217391304348,7.065217391304348,6.9787234042553195,6.979166666666666,7.020408163265306,7.04,7.0588235294117645,7.0576923076923075,7.0576923076923075,7.0576923076923075,6.943396226415095,6.981481481481481,7.018181818181818,6.946428571428571,6.946428571428571,6.982456140350877,6.931034482758621,6.864406779661017
